acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_isi,count_keyboard_response,count_logger,count_sequence,count_sketchpad,count_sketchpad_1,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_sketchpad,response_sketchpad_1,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_sketchpad,response_time_sketchpad_1,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_isi,time_keyboard_response,time_logger,time_sequence,time_sketchpad,time_sketchpad_1,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,s,NA,NA,None,NA,NA,1500,NA,10987,NA,NA,1500,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,NA,2777,NA,NA,14012,2781,NA,NA,NA,14115,15615,14009,NA,NA,14115,Week4submit,0,1500,1,yes,1024
0,0,1500,1500,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,NA,NA,1,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,s,NA,NA,None,NA,NA,1500,NA,10987,NA,NA,1500,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,13769,NA,NA,15641,2777,NA,NA,17251,2781,NA,NA,16144,17354,18854,17249,NA,NA,17354,Week4submit,0,3000,2,yes,1024
0,0,1500,1500,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,NA,NA,2,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,s,NA,NA,None,NA,NA,1500,NA,10987,NA,NA,1500,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,18859,2777,NA,NA,20456,2781,NA,NA,19362,20559,22059,20453,NA,NA,20559,Week4submit,0,4500,3,yes,1024
25,25,1403.5,1403.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,NA,NA,3,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,1114,NA,10987,NA,NA,1114,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,22064,2777,NA,NA,23671,2781,NA,NA,22568,23774,24889,23668,NA,NA,23774,Week4submit,1,5614,4,yes,1024
20,20,1422.8,1422.8,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,NA,NA,4,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,s,NA,NA,None,NA,NA,1500,NA,10987,NA,NA,1500,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,13769,NA,NA,22064,2777,NA,NA,26005,2781,NA,NA,24894,26108,27608,26003,NA,NA,26108,Week4submit,1,7114,5,yes,1024
33.33333333,33.33333333,1399.833333,1399.833333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,NA,NA,5,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,1285,NA,10987,NA,NA,1285,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,29220,2781,NA,NA,28116,29323,30609,29217,NA,NA,29323,Week4submit,2,8399,6,yes,1024
42.85714286,42.85714286,1335.428571,1335.428571,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,NA,NA,6,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,949,NA,10987,NA,NA,949,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,31717,2781,NA,NA,30614,31820,32770,31714,NA,NA,31820,Week4submit,3,9348,7,yes,1024
50,50,1295.875,1295.875,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,NA,NA,7,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,1019,NA,10987,NA,NA,1019,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,27613,2777,NA,NA,33879,2781,NA,NA,32775,33982,35001,33876,NA,NA,33982,Week4submit,4,10367,8,yes,1024
55.55555556,55.55555556,1295.666667,1295.666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,NA,NA,8,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,1294,NA,10987,NA,NA,1294,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,13769,NA,NA,27613,2777,NA,NA,36116,2781,NA,NA,35006,36219,37513,36113,NA,NA,36219,Week4submit,5,11661,9,yes,1024
60,60,1257.3,1257.3,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,NA,NA,9,9/19/19 14:57,1500,The main experiment item,yes,Week4submit.osexp,C:\Users\DLGoupil\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,912,NA,10987,NA,NA,912,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,13769,NA,NA,27613,2777,NA,NA,38618,2781,NA,NA,37518,38721,39633,38615,NA,NA,38721,Week4submit,6,12573,10,yes,1024
