acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,442.0909091,442.0909091,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,10,10,0,10,0,10,0,0,0,10,10,10,10,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,453,NA,33950,NA,NA,453,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,35472,NA,NA,51149,NA,1506,NA,NA,52248,1520,NA,NA,52359,52814,52238,52358,FlankerTaskKBowman,11,4863,11,yes,1024
100,100,448.4166667,448.4166667,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,11,0,11,0,11,0,0,0,11,11,11,11,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,518,NA,33950,NA,NA,518,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,35472,NA,NA,52827,NA,1506,NA,NA,53928,1520,NA,NA,54039,54559,53917,54039,FlankerTaskKBowman,12,5381,12,yes,1024
100,100,459,459,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,12,12,0,12,0,12,0,0,0,12,12,12,12,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,12,12,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,586,NA,33950,NA,NA,586,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,35472,NA,NA,54571,NA,1506,NA,NA,55672,1520,NA,NA,55784,56372,55662,55784,FlankerTaskKBowman,13,5967,13,yes,1024
100,100,460.9285714,460.9285714,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,13,13,0,13,0,13,0,0,0,13,13,13,13,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,13,13,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,486,NA,33950,NA,NA,486,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,35472,NA,NA,56384,NA,1506,NA,NA,57492,1520,NA,NA,57602,58090,57480,57602,FlankerTaskKBowman,14,6453,14,yes,1024
100,100,460.8666667,460.8666667,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,0,14,0,0,0,14,14,14,14,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,14,14,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,460,NA,33950,NA,NA,460,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,58104,NA,1506,NA,NA,59208,1520,NA,NA,59320,59783,59197,59320,FlankerTaskKBowman,15,6913,15,yes,1024
100,100,465.25,465.25,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,15,15,0,15,0,15,0,0,0,15,15,15,15,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,15,15,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,531,NA,33950,NA,NA,531,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,35472,NA,NA,59795,NA,1506,NA,NA,60897,1520,NA,NA,61007,61540,60887,61007,FlankerTaskKBowman,16,7444,16,yes,1024
100,100,464.4705882,464.4705882,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,16,16,0,16,0,16,0,0,0,16,16,16,16,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,16,16,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,452,NA,33950,NA,NA,452,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,35472,NA,NA,61553,NA,1506,NA,NA,62653,1520,NA,NA,62764,63218,62643,62764,FlankerTaskKBowman,17,7896,17,yes,1024
100,100,462.4444444,462.4444444,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,17,17,0,17,0,17,0,0,0,17,17,17,17,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,17,17,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,428,NA,33950,NA,NA,428,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,63233,NA,1506,NA,NA,64335,1520,NA,NA,64446,64876,64325,64446,FlankerTaskKBowman,18,8324,18,yes,1024
100,100,462.5263158,462.5263158,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,18,18,0,18,0,18,0,0,0,18,18,18,18,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,18,18,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,464,NA,33950,NA,NA,464,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,35472,NA,NA,64889,NA,1506,NA,NA,65989,1520,NA,NA,66100,66566,65979,66100,FlankerTaskKBowman,19,8788,19,yes,1024
100,100,465.65,465.65,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,19,19,0,19,0,19,0,0,0,19,19,19,19,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,19,19,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,525,NA,33950,NA,NA,525,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,35472,NA,NA,66579,NA,1506,NA,NA,67680,1520,NA,NA,67790,68317,67669,67790,FlankerTaskKBowman,20,9313,20,yes,1024
