acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_isi,count_keyboard_response,count_logger,count_sequence,count_sketchpad,count_sketchpad_1,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_sketchpad,response_sketchpad_1,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_sketchpad,response_time_sketchpad_1,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_isi,time_keyboard_response,time_logger,time_sequence,time_sketchpad,time_sketchpad_1,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,660,660,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,660,NA,230006,NA,NA,660,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,232992,NA,NA,NA,2980,NA,NA,233228,2984,NA,NA,NA,233330,233991,233225,NA,NA,233330,Week4submit,1,660,1,yes,1024
100,100,560,560,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,NA,NA,1,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,460,NA,230006,NA,NA,460,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,232992,NA,NA,NA,2980,NA,NA,235100,2984,NA,NA,234002,235203,235663,235097,NA,NA,235203,Week4submit,2,1120,2,yes,1024
100,100,493,493,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,NA,NA,2,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,359,NA,230006,NA,NA,359,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,232992,NA,NA,NA,2980,NA,NA,236768,2984,NA,NA,235668,236871,237231,236765,NA,NA,236871,Week4submit,3,1479,3,yes,1024
75,75,467,467,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,NA,NA,3,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,NA,389,NA,230006,NA,NA,389,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,232992,NA,NA,NA,2980,NA,NA,238347,2984,NA,NA,237236,238450,238839,238344,NA,NA,238450,Week4submit,3,1868,4,yes,1024
80,80,456.2,456.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,NA,NA,4,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,413,NA,230006,NA,NA,413,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,232992,NA,NA,238844,2980,NA,NA,240451,2984,NA,NA,239347,240554,240967,240448,NA,NA,240554,Week4submit,4,2281,5,yes,1024
83.33333333,83.33333333,450.3333333,450.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,NA,NA,5,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,421,NA,230006,NA,NA,421,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,232992,NA,NA,238844,2980,NA,NA,242075,2984,NA,NA,240972,242178,242599,242072,NA,NA,242178,Week4submit,5,2702,6,yes,1024
85.71428571,85.71428571,461,461,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,NA,NA,6,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,525,NA,230006,NA,NA,525,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,232992,NA,NA,238844,2980,NA,NA,243715,2984,NA,NA,242605,243818,244343,243712,NA,NA,243818,Week4submit,6,3227,7,yes,1024
87.5,87.5,454.125,454.125,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,NA,NA,7,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,406,NA,230006,NA,NA,406,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,232992,NA,NA,238844,2980,NA,NA,245458,2984,NA,NA,244349,245561,245967,245455,NA,NA,245561,Week4submit,7,3633,8,yes,1024
88.88888889,88.88888889,448.8888889,448.8888889,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,NA,NA,8,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,407,NA,230006,NA,NA,407,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,232992,NA,NA,238844,2980,NA,NA,247081,2984,NA,NA,245972,247184,247591,247079,NA,NA,247184,Week4submit,8,4040,9,yes,1024
90,90,444.2,444.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,NA,NA,9,9/25/19 17:00,1500,The main experiment item,yes,Week4submit.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/DLGoupil/Desktop/subject-2.1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,NA,402,NA,230006,NA,NA,402,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,232992,NA,NA,238844,2980,NA,NA,248725,2984,NA,NA,247615,248828,249231,248722,NA,NA,248828,Week4submit,9,4442,10,yes,1024
