acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instruction1,correct_Keyboard_Response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instruction1,count_Instruction2,count_Instruction3,count_Keyboard_Response,count_Logger,count_Sequence,count_Stimulus,count_experiment,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instruction1,response_Instruction2,response_Instruction3,response_Keyboard_Response,response_time,response_time_Finish,response_time_Instruction1,response_time_Instruction2,response_time_Instruction3,response_time_Keyboard_Response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instruction1,time_Instruction2,time_Instruction3,time_Keyboard_Response,time_Logger,time_Sequence,time_Stimulus,time_experiment,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,s,NA,NA,None,1500,NA,91740,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,97625,NA,NA,NA,NA,NA,97903,NA,5866,NA,NA,98031,99531,97876,98030,5833,Flanker Test,0,1500,1,yes,1024
50,50,1212.5,1212.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,925,NA,91740,NA,NA,925,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,97625,NA,NA,99574,NA,NA,101383,100103,5866,NA,NA,101511,102439,101357,101510,5833,Flanker Test,1,2425,2,yes,1024
66.66666667,66.66666667,1019.666667,1019.666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,2,0,0,0,2,2,2,2,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,634,NA,91740,NA,NA,634,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,97625,NA,NA,99574,NA,NA,103728,102471,5866,NA,NA,103855,104492,103701,103855,5833,Flanker Test,2,3059,3,yes,1024
75,75,912.75,912.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,3,0,0,0,3,3,3,3,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,592,NA,91740,NA,NA,592,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,97625,NA,NA,99574,NA,NA,105783,104524,5866,NA,NA,105910,106505,105757,105909,5833,Flanker Test,3,3651,4,yes,1024
80,80,856.8,856.8,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,4,0,0,0,4,4,4,4,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,633,NA,91740,NA,NA,633,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,97625,NA,NA,99574,NA,NA,107797,106537,5866,NA,NA,107924,108560,107770,107923,5833,Flanker Test,4,4284,5,yes,1024
83.33333333,83.33333333,792.8333333,792.8333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,5,0,0,0,5,5,5,5,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,473,NA,91740,NA,NA,473,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,97625,NA,NA,99574,NA,NA,109849,108592,5866,NA,NA,109975,110451,109822,109975,5833,Flanker Test,5,4757,6,yes,1024
85.71428571,85.71428571,758.8571429,758.8571429,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,6,0,0,0,6,6,6,6,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,555,NA,91740,NA,NA,555,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,97625,NA,NA,99574,NA,NA,111743,110483,5866,NA,NA,111870,112428,111717,111869,5833,Flanker Test,6,5312,7,yes,1024
87.5,87.5,735.875,735.875,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,7,0,0,0,7,7,7,7,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,575,NA,91740,NA,NA,575,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,97625,NA,NA,99574,NA,NA,113715,112459,5866,NA,NA,113842,114420,113689,113841,5833,Flanker Test,7,5887,8,yes,1024
88.88888889,88.88888889,706.8888889,706.8888889,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,475,NA,91740,NA,NA,475,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,97625,NA,NA,99574,NA,NA,115709,114452,5866,NA,NA,115836,116314,115682,115835,5833,Flanker Test,8,6362,9,yes,1024
90,90,703,703,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,9,0,0,0,9,9,9,9,0,Sun Sep 29 16:38:08 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Linzi/Desktop/LM-subject-4f20.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,668,NA,91740,NA,NA,668,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,97625,NA,NA,99574,NA,NA,117606,116346,5866,NA,NA,117733,118405,117579,117733,5833,Flanker Test,9,7030,10,yes,1024
