acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction3,count_instructions1,count_instructions2,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction3,response_instructions1,response_instructions2,response_keyboard_response,response_time,response_time_finish,response_time_instruction3,response_time_instructions1,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction3,time_instructions1,time_instructions2,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1473,1473,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,h,NA,s,1473,NA,NA,95168,NA,1473,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,NA,100514,NA,NA,NA,5323,NA,NA,100990,NA,5342,NA,101097,102571,100983,101096,Flanker task,1,1473,1,yes,1024
100,100,1436.5,1436.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,h,NA,s,1400,NA,NA,95168,NA,1400,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,102658,100514,NA,NA,NA,5323,NA,NA,103906,NA,5342,NA,104012,105415,103898,104011,Flanker task,2,2873,2,yes,1024
66.66666667,66.66666667,1457.666667,1457.666667,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,2,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,NA,h,NA,None,1500,NA,NA,95168,NA,1500,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,105465,100514,NA,NA,NA,5323,NA,NA,106727,NA,5342,NA,106834,108334,106720,106834,Flanker task,2,4373,3,yes,1024
75,75,1421,1421,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,3,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,1311,NA,NA,95168,NA,1311,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,108898,100514,NA,NA,108393,5323,NA,NA,110173,NA,5342,NA,110279,111592,110164,110278,Flanker task,3,5684,4,yes,1024
60,60,1436.8,1436.8,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,4,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,NA,h,NA,None,1500,NA,NA,95168,NA,1500,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,111670,100514,NA,NA,108393,5323,NA,NA,112915,NA,5342,NA,113022,114522,112908,113021,Flanker task,3,7184,5,yes,1024
50,50,1447.5,1447.5,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,s,5,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,None,NA,NA,h,NA,None,1501,NA,NA,95168,NA,1501,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,115171,100514,NA,NA,114666,5323,NA,NA,116406,NA,5342,NA,116512,118013,116397,116512,Flanker task,3,8685,6,yes,1024
57.14285714,57.14285714,1360.285714,1360.285714,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,6,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,837,NA,NA,95168,NA,837,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,119072,100514,NA,NA,118060,5323,118567,NA,120307,NA,5342,NA,120413,121252,120297,120413,Flanker task,4,9522,7,yes,1024
62.5,62.5,1269.5,1269.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,7,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,634,NA,NA,95168,NA,634,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,121311,100514,NA,NA,118060,5323,118567,NA,122547,NA,5342,NA,122652,123287,122539,122652,Flanker task,5,10156,8,yes,1024
66.66666667,66.66666667,1204.222222,1204.222222,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,h,NA,s,682,NA,NA,95168,NA,682,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,123353,100514,NA,NA,118060,5323,118567,NA,124589,NA,5342,NA,124695,125379,124580,124694,Flanker task,6,10838,9,yes,1024
70,70,1147.2,1147.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,9/28/19 17:57,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/KR-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,634,NA,NA,95168,NA,634,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,125446,100514,NA,NA,118060,5323,118567,NA,126692,NA,5342,NA,126797,127432,126685,126797,Flanker task,7,11472,10,yes,1024
