acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Faster,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_finish,count_fixation,count_keyboard_response,count_new_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_Instructions2,response_Instructions3,response_finish,response_keyboard_response,response_time,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_finish,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Faster,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_finish,time_fixation,time_keyboard_response,time_new_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,863,863,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,863,3013,NA,NA,NA,863,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,NA,2304,NA,NA,5502,5318,NA,NA,NA,2296,NA,5396,5502,6365,5394,Flanker Task,1,863,1,yes,1024
100,100,618,618,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,373,3013,NA,NA,NA,373,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,6415,2304,NA,NA,7623,5318,NA,NA,NA,2296,NA,7518,7623,7997,7515,Flanker Task,2,1236,2,yes,1024
66.66666667,66.66666667,556.3333333,556.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,2,2,0,0,0,2,0,0,0,2,0,0,2,2,2,2,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,433,3013,NA,NA,NA,433,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,NA,8034,2304,NA,NA,9228,5318,NA,NA,NA,2296,NA,9123,9228,9661,9120,Flanker Task,2,1669,3,yes,1024
75,75,574.75,574.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,3,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,630,3013,NA,NA,NA,630,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,10187,2304,NA,NA,11399,5318,NA,NA,9681,2296,NA,11294,11399,12030,11291,Flanker Task,3,2299,4,yes,1024
80,80,552.4,552.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,4,4,0,0,0,4,0,0,0,4,0,0,4,4,4,4,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,463,3013,NA,NA,NA,463,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,12052,2304,NA,NA,13262,5318,NA,NA,9681,2296,NA,13157,13262,13726,13154,Flanker Task,4,2762,5,yes,1024
83.33333333,83.33333333,536,536,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,5,5,0,0,0,5,0,0,0,5,0,0,5,5,5,5,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,454,3013,NA,NA,NA,454,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,NA,13749,2304,NA,NA,14959,5318,NA,NA,9681,2296,NA,14854,14959,15413,14851,Flanker Task,5,3216,6,yes,1024
85.71428571,85.71428571,537.8571429,537.8571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,6,0,0,0,6,0,0,0,6,0,0,6,6,6,6,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,549,3013,NA,NA,NA,549,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,NA,15441,2304,NA,NA,16648,5318,NA,NA,9681,2296,NA,16543,16648,17197,16541,Flanker Task,6,3765,7,yes,1024
87.5,87.5,529.125,529.125,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,7,7,0,0,0,7,0,0,0,7,0,0,7,7,7,7,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,468,3013,NA,NA,NA,468,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,17226,2304,NA,NA,18433,5318,NA,NA,9681,2296,NA,18328,18433,18902,18325,Flanker Task,7,4233,8,yes,1024
88.88888889,88.88888889,526.1111111,526.1111111,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,8,8,0,0,0,8,0,0,0,8,0,0,8,8,8,8,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,502,3013,NA,NA,NA,502,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,18927,2304,NA,NA,20127,5318,NA,NA,9681,2296,NA,20022,20127,20629,20019,Flanker Task,8,4735,9,yes,1024
90,90,523.7,523.7,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,9,9,0,0,0,9,0,0,0,9,0,0,9,9,9,9,9/20/19 10:00,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,502,3013,NA,NA,NA,502,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,20658,2304,NA,NA,21863,5318,NA,NA,9681,2296,NA,21758,21863,22365,21755,Flanker Task,9,5237,10,yes,1024
