acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_new_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_new_keyboard_response,count_new_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_new_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_new_keyboard_response,time_new_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,828,828,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,828,NA,150628,NA,NA,828,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,NA,154286,NA,NA,NA,3622,NA,NA,154384,3647,NA,NA,154497,155327,154372,154497,FlankerTask,1,828,1,yes,1024
100,100,613.5,613.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,399,NA,150628,NA,NA,399,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,155345,154286,NA,NA,NA,3622,NA,NA,156448,3647,NA,NA,156563,156964,156434,156563,FlankerTask,2,1227,2,yes,1024
100,100,542.3333333,542.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,2,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,400,NA,150628,NA,NA,400,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,156978,154286,NA,NA,NA,3622,NA,NA,158072,3647,NA,NA,158185,158587,158058,158185,FlankerTask,3,1627,3,yes,1024
100,100,517.5,517.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,3,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,443,NA,150628,NA,NA,443,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,158601,154286,NA,NA,NA,3622,NA,NA,159695,3647,NA,NA,159807,160251,159681,159807,FlankerTask,4,2070,4,yes,1024
100,100,513.6,513.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,4,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,498,NA,150628,NA,NA,498,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,160267,154286,NA,NA,NA,3622,NA,NA,161360,3647,NA,NA,161474,161973,161348,161473,FlankerTask,5,2568,5,yes,1024
100,100,504.6666667,504.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,5,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,460,NA,150628,NA,NA,460,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,161988,154286,NA,NA,NA,3622,NA,NA,163080,3647,NA,NA,163193,163655,163066,163192,FlankerTask,6,3028,6,yes,1024
100,100,493.8571429,493.8571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,429,NA,150628,NA,NA,429,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,163670,154286,NA,NA,NA,3622,NA,NA,164764,3647,NA,NA,164878,165309,164751,164878,FlankerTask,7,3457,7,yes,1024
100,100,485.75,485.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,7,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,429,NA,150628,NA,NA,429,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,165323,154286,NA,NA,NA,3622,NA,NA,166417,3647,NA,NA,166530,166961,166402,166530,FlankerTask,8,3886,8,yes,1024
100,100,486.5555556,486.5555556,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,493,NA,150628,NA,NA,493,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,166978,154286,NA,NA,NA,3622,NA,NA,168070,3647,NA,NA,168184,168678,168058,168183,FlankerTask,9,4379,9,yes,1024
100,100,484,484,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,Wed Sep 25 09:40:22 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 2,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/kaylicolpitts/Desktop/adv quant/lab 2/Kc-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,461,NA,150628,NA,NA,461,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,168693,154286,NA,NA,NA,3622,NA,NA,169786,3647,NA,NA,169900,170362,169774,169900,FlankerTask,10,4840,10,yes,1024
