acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_errorFeedback,count_experiment,count_faster,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_errorFeedback,time_experiment,time_faster,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,564.2727273,564.2727273,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,10,0,0,0,10,0,10,10,10,10,10,10,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,10,10,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,563,NA,109515,NA,NA,563,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,129748,2655,NA,NA,NA,2572,NA,130861,130994,131559,130829,130994,Flanker task,11,6207,11,yes,1024
100,100,575.25,575.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,11,0,0,0,11,0,11,11,11,11,11,11,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,11,11,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,696,NA,109515,NA,NA,696,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,131599,2655,NA,NA,NA,2572,NA,132717,132850,133547,132684,132849,Flanker task,12,6903,12,yes,1024
100,100,576,576,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,12,0,0,0,12,0,12,12,12,12,12,12,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,12,12,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,585,NA,109515,NA,NA,585,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,133583,2655,NA,NA,NA,2572,NA,134704,134837,135424,134672,134837,Flanker task,13,7488,13,yes,1024
100,100,576.5,576.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,13,0,0,0,13,0,13,13,13,13,13,13,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,13,13,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,583,NA,109515,NA,NA,583,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,135458,2655,NA,NA,NA,2572,NA,136572,136708,137293,136540,136708,Flanker task,14,8071,14,yes,1024
100,100,581.6,581.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,14,0,0,0,14,0,14,14,14,14,14,14,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,14,14,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,653,NA,109515,NA,NA,653,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,137330,2655,NA,NA,NA,2572,NA,138445,138577,139232,138412,138577,Flanker task,15,8724,15,yes,1024
100,100,583.25,583.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,15,0,0,0,15,0,15,15,15,15,15,15,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,15,15,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,608,NA,109515,NA,NA,608,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,139267,2655,NA,NA,NA,2572,NA,140390,140522,141132,140356,140522,Flanker task,16,9332,16,yes,1024
100,100,588.1176471,588.1176471,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,16,0,0,0,16,0,16,16,16,16,16,16,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,16,16,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,666,NA,109515,NA,NA,666,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,141167,2655,NA,NA,NA,2572,NA,142280,142413,143081,142248,142413,Flanker task,17,9998,17,yes,1024
100,100,607.6111111,607.6111111,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,17,0,0,0,17,0,17,17,17,17,17,17,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,17,17,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,939,NA,109515,NA,NA,939,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,143115,2655,NA,NA,NA,2572,NA,144228,144360,145301,144196,144360,Flanker task,18,10937,18,yes,1024
100,100,610.3157895,610.3157895,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,18,0,0,0,18,0,18,18,18,18,18,18,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,18,18,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,659,NA,109515,NA,NA,659,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,145349,2655,NA,NA,NA,2572,NA,146470,146603,147264,146438,146603,Flanker task,19,11596,19,yes,1024
100,100,609.25,609.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,19,0,0,0,19,0,19,19,19,19,19,19,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,19,19,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,589,NA,109515,NA,NA,589,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,147299,2655,NA,NA,NA,2572,NA,148415,148548,149139,148381,148547,Flanker task,20,12185,20,yes,1024
