"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","5 + 5 = 8","l","729","small","4","F"
"1","word","six + three = nine","a","1470","small","4","T"
"1","digit","2 + 8 = 10","a","799","small","4","T"
"1","digit","8 + 6 = 18","l","795","large","4","F"
"1","digit","3 + 3 = 6","a","671","small","4","T"
"1","word","seven + three = fourteen","l","1490","small","4","F"
"1","word","four + four = eight","a","1037","small","4","T"
"0","digit","3 + 6 = 7","a","1109","small","4","F"
"1","digit","2 + 7 = 9","a","786","small","4","T"
"1","word","four + nine = thirteen","a","1833","large","4","T"
"1","digit","3 + 4 = 7","a","788","small","4","T"
"1","digit","2 + 2 = 6","l","945","small","4","F"
"1","word","three + nine = twelve","a","1365","large","4","T"
"1","digit","9 + 6 = 11","l","1345","large","4","F"
"1","digit","7 + 3 = 12","l","878","small","4","F"
"1","word","seven + seven = fourteen","a","1066","large","4","T"
"1","word","six + six = nine","l","1267","large","4","F"
"1","digit","7 + 8 = 15","a","3452","large","4","T"
"1","digit","6 + 6 = 12","a","934","large","4","T"
"1","digit","8 + 8 = 13","l","741","large","4","F"
"1","word","nine + nine = fifteen","l","1120","large","4","F"
"1","word","four + eight = twelve","a","1434","large","4","T"
"1","word","seven + four = twelve","l","1159","large","4","F"
"1","word","six + four = nine","l","2149","small","4","F"
"1","word","five + three = eight","a","1200","small","4","T"
"1","digit","2 + 9 = 11","a","886","small","4","T"
"1","digit","9 + 8 = 15","l","989","large","4","F"
"1","digit","6 + 5 = 14","l","802","large","4","F"
"1","word","nine + five = eleven","l","1784","large","4","F"
"1","digit","2 + 3 = 5","a","864","small","4","T"
"1","word","eight + five = seventeen","l","1402","large","4","F"
"1","word","eight + two = ten","a","1758","small","4","T"
"1","word","two + two = four","a","1116","small","4","T"
"0","digit","5 + 7 = 12","l","809","large","4","T"
"1","digit","4 + 9 = 13","a","867","large","4","T"
"1","digit","5 + 4 = 9","a","959","small","4","T"
"1","digit","4 + 4 = 9","l","820","small","4","F"
"1","word","two + six = five","l","1238","small","4","F"
"1","word","six + five = ten","l","1529","large","4","F"
"1","word","seven + nine = sixteen","a","2099","large","4","T"
"1","digit","7 + 9 = 16","a","997","large","4","T"
"0","word","seven + six = thirteen","l","1274","large","4","T"
"1","word","four + five = thirteen","l","1380","small","4","F"
"0","word","seven + five = fourteen","a","2271","large","4","F"
"1","word","three + three = six","a","966","small","4","T"
"1","digit","3 + 8 = 10","l","857","small","4","F"
"0","word","two + four = six","l","1168","small","4","T"
"1","digit","9 + 5 = 16","l","1490","large","4","F"
"1","digit","2 + 5 = 11","l","698","small","4","F"
"0","word","six + eight = fourteen","l","1530","large","4","T"
"1","word","eight + seven = fifteen","a","1770","large","4","T"
"1","digit","7 + 7 = 14","a","696","large","4","T"
"1","digit","4 + 2 = 6","a","691","small","4","T"
"1","word","three + two = seven","l","903","small","4","F"
"1","word","nine + six = fifteen","a","1748","large","4","T"
"1","word","three + four = six","l","2473","small","4","F"
"0","digit","5 + 3 = 4","a","1475","small","4","F"
"1","word","eight + nine = sixteen","l","2873","large","4","F"
"1","word","two + nine = eleven","a","3556","small","4","T"
"1","digit","6 + 4 = 10","a","668","small","4","T"
"1","digit","5 + 8 = 13","a","1002","large","4","T"
"1","digit","4 + 8 = 11","l","1226","large","4","F"
"1","word","five + five = eight","l","1972","small","4","F"
"1","word","three + eight = twelve","l","1377","small","4","F"
"1","digit","7 + 4 = 13","l","4621","large","4","F"
"1","word","five + two = four","l","2106","small","4","F"
"1","word","seven + two = nine","a","1502","small","4","T"
"1","word","eight + eight = eighteen","l","1379","large","4","F"
"1","digit","6 + 2 = 5","l","749","small","4","F"
"1","digit","6 + 7 = 13","a","1279","large","4","T"
"1","digit","3 + 9 = 12","a","881","large","4","T"
"1","digit","9 + 9 = 17","l","715","large","4","F"
"1","digit","4 + 2 = 5","l","668","small","4","F"
"1","digit","2 + 2 = 4","a","968","small","4","T"
"0","word","seven + four = eleven","l","1232","large","4","T"
"1","word","eight + nine = seventeen","a","1467","large","4","T"
"1","word","two + four = nine","l","1759","small","4","F"
"1","word","four + four = six","l","818","small","4","F"
"1","word","six + six = twelve","a","1109","large","4","T"
"1","digit","8 + 4 = 12","a","757","large","4","T"
"1","digit","3 + 3 = 7","l","639","small","4","F"
"1","word","three + five = twelve","l","1412","small","4","F"
"1","digit","8 + 3 = 11","a","815","small","4","T"
"1","digit","6 + 5 = 11","a","2162","large","4","T"
"1","word","seven + six = twelve","l","3088","large","4","F"
"1","word","two + five = seven","a","1368","small","4","T"
"1","word","eight + eight = sixteen","a","1163","large","4","T"
"1","word","seven + nine = eighteen","l","1377","large","4","F"
"1","word","seven + seven = fifteen","l","1040","large","4","F"
"1","word","two + two = five","l","1099","small","4","F"
"1","digit","9 + 8 = 17","a","671","large","4","T"
"1","digit","6 + 9 = 15","a","1644","large","4","T"
"1","digit","3 + 9 = 10","l","917","large","4","F"
"1","digit","3 + 2 = 4","l","789","small","4","F"
"1","word","three + three = four","l","2526","small","4","F"
"1","digit","8 + 8 = 16","a","3085","large","4","T"
"1","word","three + nine = eleven","l","2024","large","4","F"
"1","word","six + four = ten","a","3140","small","4","T"
"1","digit","4 + 9 = 16","l","1371","large","4","F"
"0","digit","3 + 6 = 9","l","4304","small","4","T"
"0","word","two + eight = eleven","a","2147","small","4","F"
"1","digit","6 + 6 = 15","l","1424","large","4","F"
"1","word","eight + three = eleven","a","1891","small","4","T"
"1","word","seven + eight = thirteen","l","1222","large","4","F"
"1","word","four + three = seven","a","1148","small","4","T"
"1","word","five + four = nine","a","1122","small","4","T"
"1","word","five + seven = twelve","a","1259","large","4","T"
