"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","seven + three = fourteen","l","2489","small","2","F"
"1","word","seven + nine = sixteen","a","4319","large","2","T"
"1","digit","3 + 8 = 10","l","2217","small","2","F"
"1","digit","2 + 9 = 11","a","1387","small","2","T"
"1","digit","5 + 8 = 13","a","2659","large","2","T"
"1","digit","3 + 9 = 12","a","1471","large","2","T"
"1","word","nine + nine = fifteen","l","1551","large","2","F"
"1","digit","5 + 4 = 9","a","1540","small","2","T"
"1","digit","7 + 3 = 12","l","1449","small","2","F"
"1","word","two + nine = eleven","a","3589","small","2","T"
"1","digit","5 + 5 = 8","l","1310","small","2","F"
"1","word","eight + nine = sixteen","l","2897","large","2","F"
"1","word","nine + six = fifteen","a","2169","large","2","T"
"1","word","six + five = ten","l","2097","large","2","F"
"1","word","four + nine = thirteen","a","2129","large","2","T"
"1","word","three + eight = twelve","l","2577","small","2","F"
"1","word","five + two = four","l","2077","small","2","F"
"1","word","five + five = eight","l","1495","small","2","F"
"1","digit","2 + 8 = 10","a","1386","small","2","T"
"1","digit","9 + 6 = 11","l","2249","large","2","F"
"1","digit","6 + 4 = 10","a","1227","small","2","T"
"1","word","nine + five = eleven","l","1795","large","2","F"
"1","digit","8 + 8 = 13","l","1138","large","2","F"
"1","digit","4 + 9 = 13","a","2555","large","2","T"
"1","word","seven + four = twelve","l","3175","large","2","F"
"1","word","six + eight = fourteen","a","1841","large","2","T"
"1","digit","9 + 8 = 15","l","1936","large","2","F"
"1","digit","4 + 8 = 11","l","2014","large","2","F"
"1","digit","9 + 5 = 16","l","2811","large","2","F"
"1","word","three + nine = twelve","a","1996","large","2","T"
"1","word","two + two = four","a","1356","small","2","T"
"1","digit","3 + 3 = 6","a","1279","small","2","T"
"1","digit","8 + 6 = 18","l","1236","large","2","F"
"1","word","six + four = nine","l","2752","small","2","F"
"1","word","three + four = six","l","2378","small","2","F"
"1","digit","7 + 7 = 14","a","1249","large","2","T"
"1","digit","2 + 3 = 5","a","1175","small","2","T"
"1","word","four + eight = twelve","a","2007","large","2","T"
"1","word","four + four = eight","a","1523","small","2","T"
"1","digit","3 + 6 = 7","l","2417","small","2","F"
"1","digit","2 + 2 = 6","l","1174","small","2","F"
"1","word","eight + two = ten","a","1733","small","2","T"
"1","word","seven + five = fourteen","l","5525","large","2","F"
"1","word","eight + eight = eighteen","l","2426","large","2","F"
"1","word","three + three = six","a","1459","small","2","T"
"1","word","six + three = nine","a","1596","small","2","T"
"1","digit","6 + 7 = 13","a","4341","large","2","T"
"1","word","two + four = six","a","1763","small","2","T"
"1","digit","5 + 3 = 4","l","3584","small","2","F"
"1","word","seven + six = thirteen","a","2696","large","2","T"
"1","digit","3 + 4 = 7","a","1261","small","2","T"
"1","digit","2 + 7 = 9","a","1094","small","2","T"
"1","word","five + three = eight","a","2216","small","2","T"
"1","digit","7 + 9 = 16","a","2586","large","2","T"
"1","word","eight + five = seventeen","l","2999","large","2","F"
"1","word","three + two = seven","l","1388","small","2","F"
"1","word","four + five = thirteen","l","2056","small","2","F"
"1","word","seven + seven = fourteen","a","1445","large","2","T"
"1","digit","2 + 5 = 11","l","1438","small","2","F"
"1","digit","5 + 7 = 12","a","3075","large","2","T"
"1","digit","4 + 2 = 6","a","1106","small","2","T"
"1","word","two + six = five","l","1521","small","2","F"
"1","word","eight + seven = fifteen","a","3624","large","2","T"
"1","digit","9 + 9 = 17","l","1231","large","2","F"
"0","word","seven + two = nine","l","1570","small","2","T"
"1","digit","6 + 6 = 12","a","1015","large","2","T"
"1","digit","4 + 4 = 9","l","982","small","2","F"
"1","digit","6 + 5 = 14","l","1637","large","2","F"
"1","digit","7 + 8 = 15","a","1970","large","2","T"
"1","digit","6 + 2 = 5","l","1277","small","2","F"
"1","digit","7 + 4 = 13","l","3330","large","2","F"
"1","word","six + six = nine","l","1345","large","2","F"
"1","word","four + three = seven","a","1552","small","2","T"
"1","digit","8 + 3 = 11","a","1163","small","2","T"
"1","word","four + four = six","l","1340","small","2","F"
"1","digit","5 + 8 = 17","l","2842","large","2","F"
"1","digit","6 + 9 = 15","a","1776","large","2","T"
"1","digit","5 + 7 = 11","l","2546","large","2","F"
"1","word","seven + eight = thirteen","l","2637","large","2","F"
"1","word","three + nine = eleven","l","2077","large","2","F"
"1","word","two + seven = eight","l","1744","small","2","F"
"1","word","five + seven = twelve","a","3325","large","2","T"
"1","word","three + two = five","a","1968","small","2","T"
"1","word","eight + eight = sixteen","a","1343","large","2","T"
"1","word","two + nine = ten","l","1550","small","2","F"
"1","word","two + four = nine","l","1771","small","2","F"
"1","digit","7 + 7 = 18","l","1290","large","2","F"
"1","word","eight + three = eleven","a","2272","small","2","T"
"1","digit","4 + 3 = 9","l","1629","small","2","F"
"1","digit","7 + 2 = 6","l","2741","small","2","F"
"1","digit","8 + 4 = 12","a","1227","large","2","T"
