subject,gender,age
1,f,26
2,m,21
3,f,44
4,m,47
5,m,25
6,f,24
7,m,25
8,f,25
9,f,22
10,m,27
11,m,46
12,f,48
13,f,21
14,f,21
15,f,20
16,f,18
17,f,23
18,m,40
19,m,33
20,m,24
21,m,26
22,f,21
23,m,27
24,f,25
25,f,25
26,m,18
27,f,19
28,f,18
29,f,27
30,f,28
31,m,32
32,m,30
33,f,25
34,f,60
35,f,33
36,m,64
37,f,32
38,m,30
39,m,33
40,f,66
41,f,23
42,m,26
43,f,52
44,m,27
45,f,23
46,m,23
47,f,20
48,m,24
