acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboardresponse,correct_response,count_Block1,count_Block2,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_block3,count_errorFeedback,count_experiment,count_faster,count_getting_started,count_keyboardresponse,count_logger,count_welcome,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboardresponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboardresponse,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_block3,time_errorFeedback,time_experiment,time_faster,time_getting_started,time_keyboardresponse,time_logger,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1042,1042,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,0,0,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,1042,NA,26649,NA,NA,1042,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,29194,NA,NA,29278,NA,2544,NA,NA,29276,29383,NA,NA,2541,NA,NA,29384,30426,NA,Lab 2.1 Test Flanker Task,1,1042,1,yes,1024
100,100,1003.5,1003.5,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,1,1,0,0,0,1,1,0,1,0,1,NA,1,1,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,1,1,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,965,NA,26649,NA,NA,965,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,29194,NA,NA,31604,30508,2544,NA,NA,31601,31706,NA,NA,2541,NA,NA,31706,32672,NA,Lab 2.1 Test Flanker Task,2,2007,2,yes,1024
66.66666667,66.66666667,1169,1169,#000000,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,2,2,0,0,0,2,2,0,2,0,2,NA,2,2,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,2,2,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,None,NA,s,NA,NA,None,1500,NA,26649,NA,NA,1500,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,29194,NA,NA,33773,32693,2544,NA,NA,33771,33876,NA,NA,2541,NA,NA,33876,35376,NA,Lab 2.1 Test Flanker Task,2,3507,3,yes,1024
75,75,1146,1146,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,0,0,3,3,0,3,0,3,NA,3,3,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,3,3,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,1077,NA,26649,NA,NA,1077,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,29194,NA,NA,37066,35977,2544,NA,NA,37064,37171,NA,35474,2541,NA,NA,37171,38249,NA,Lab 2.1 Test Flanker Task,3,4584,4,yes,1024
80,80,1064.4,1064.4,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,4,0,0,0,4,4,0,4,0,4,NA,4,4,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,4,4,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,738,NA,26649,NA,NA,738,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,29194,NA,NA,39364,38271,2544,NA,NA,39361,39468,NA,35474,2541,NA,NA,39468,40207,NA,Lab 2.1 Test Flanker Task,4,5322,5,yes,1024
83.33333333,83.33333333,1041.5,1041.5,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,5,5,0,0,0,5,5,0,5,0,5,NA,5,5,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,5,5,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,927,NA,26649,NA,NA,927,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,29194,NA,NA,41320,40227,2544,NA,NA,41318,41424,NA,35474,2541,NA,NA,41424,42351,NA,Lab 2.1 Test Flanker Task,5,6249,6,yes,1024
85.71428571,85.71428571,1013.571429,1013.571429,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,0,0,6,6,0,6,0,6,NA,6,6,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,6,6,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,846,NA,26649,NA,NA,846,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,29194,NA,NA,43506,42408,2544,NA,NA,43503,43610,NA,35474,2541,NA,NA,43610,44456,NA,Lab 2.1 Test Flanker Task,6,7095,7,yes,1024
87.5,87.5,960.125,960.125,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,7,7,0,0,0,7,7,0,7,0,7,NA,7,7,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,7,7,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,586,NA,26649,NA,NA,586,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,29194,NA,NA,45604,44504,2544,NA,NA,45601,45709,NA,35474,2541,NA,NA,45709,46295,NA,Lab 2.1 Test Flanker Task,7,7681,8,yes,1024
88.88888889,88.88888889,922.4444444,922.4444444,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,0,0,8,8,0,8,0,8,NA,8,8,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,8,8,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,621,NA,26649,NA,NA,621,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,29194,NA,NA,47444,46353,2544,NA,NA,47442,47548,NA,35474,2541,NA,NA,47548,48169,NA,Lab 2.1 Test Flanker Task,8,8302,9,yes,1024
90,90,922.5,922.5,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,9,9,0,0,0,9,9,0,9,0,9,NA,9,9,NA,9/25/2021 19:37,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,9,9,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-2.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,923,NA,26649,NA,NA,923,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,29194,NA,NA,49322,48220,2544,NA,NA,49319,49425,NA,35474,2541,NA,NA,49425,50349,NA,Lab 2.1 Test Flanker Task,9,9225,10,yes,1024
