Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,new_column_1,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
NA,100,100,661.5454545,661.5454545,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,10,10,0,10,0,10,0,0,0,10,10,10,10,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,591,NA,36919,NA,NA,591,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,57013,NA,2250,NA,NA,58118,2254,NA,NA,58221,58813,58116,58221,Flan ,11,7277,11,yes,1024
NA,100,100,657.6666667,657.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,11,0,11,0,11,0,0,0,11,11,11,11,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,615,NA,36919,NA,NA,615,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,39174,NA,NA,58818,NA,2250,NA,NA,59920,2254,NA,NA,60022,60637,59917,60022,Flan ,12,7892,12,yes,1024
NA,100,100,655.9230769,655.9230769,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,12,12,0,12,0,12,0,0,0,12,12,12,12,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,635,NA,36919,NA,NA,635,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,60643,NA,2250,NA,NA,61748,2254,NA,NA,61850,62486,61746,61850,Flan ,13,8527,13,yes,1024
NA,100,100,655.3571429,655.3571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,13,13,0,13,0,13,0,0,0,13,13,13,13,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,13,13,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,648,NA,36919,NA,NA,648,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,62492,NA,2250,NA,NA,63601,2254,NA,NA,63703,64352,63598,63703,Flan ,14,9175,14,yes,1024
NA,100,100,652.1333333,652.1333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,0,14,0,0,0,14,14,14,14,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,14,14,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,607,NA,36919,NA,NA,607,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,64358,NA,2250,NA,NA,65462,2254,NA,NA,65565,66173,65460,65565,Flan ,15,9782,15,yes,1024
NA,100,100,653.4375,653.4375,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,15,15,0,15,0,15,0,0,0,15,15,15,15,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,15,15,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,673,NA,36919,NA,NA,673,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,66179,NA,2250,NA,NA,67285,2254,NA,NA,67389,68063,67282,67388,Flan ,16,10455,16,yes,1024
NA,100,100,655.7647059,655.7647059,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,16,16,0,16,0,16,0,0,0,16,16,16,16,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,16,16,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,693,NA,36919,NA,NA,693,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,68068,NA,2250,NA,NA,69179,2254,NA,NA,69281,69975,69176,69281,Flan ,17,11148,17,yes,1024
NA,100,100,651.9444444,651.9444444,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,17,17,0,17,0,17,0,0,0,17,17,17,17,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,17,17,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,587,NA,36919,NA,NA,587,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,69981,NA,2250,NA,NA,71088,2254,NA,NA,71190,71777,71085,71190,Flan ,18,11735,18,yes,1024
NA,100,100,652.4210526,652.4210526,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,18,18,0,18,0,18,0,0,0,18,18,18,18,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,18,18,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,661,NA,36919,NA,NA,661,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,71790,NA,2250,NA,NA,72905,2254,NA,NA,73009,73671,72903,73009,Flan ,19,12396,19,yes,1024
NA,100,100,652.25,652.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,19,19,0,19,0,19,0,0,0,19,19,19,19,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,19,19,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,649,NA,36919,NA,NA,649,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,73677,NA,2250,NA,NA,74779,2254,NA,NA,74883,75532,74776,74883,Flan ,20,13045,20,yes,1024
