"Stimulus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","new_column_1","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","63.63636363636363","63.63636363636363","536.8181818181819","536.8181818181819","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","10","10","0","10","0","10","0","0","0","10","10","10","10","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","373","NA","30023","NA","NA","373","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33777","NA","NA","52698","52194","3748","NA","NA","53825","3753","NA","NA","53929","54302","53822","53929","Flanker Task","7","5905","11","yes","1024"
"NA","66.66666666666667","66.66666666666667","538.75","538.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","11","11","0","11","0","11","0","0","0","11","11","11","11","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","560","NA","30023","NA","NA","560","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33777","NA","NA","54309","52194","3748","NA","NA","55482","3753","NA","NA","55587","56148","55478","55587","Flanker Task","8","6465","12","yes","1024"
"NA","69.23076923076923","69.23076923076923","539.9230769230769","539.9230769230769","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","12","12","0","12","0","12","0","0","0","12","12","12","12","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","554","NA","30023","NA","NA","554","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","56155","52194","3748","NA","NA","57307","3753","NA","NA","57413","57968","57304","57412","Flanker Task","9","7019","13","yes","1024"
"NA","71.42857142857143","71.42857142857143","537.8571428571429","537.8571428571429","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","13","13","0","13","0","13","0","0","0","13","13","13","13","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","511","NA","30023","NA","NA","511","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","57973","52194","3748","NA","NA","59155","3753","NA","NA","59260","59772","59151","59260","Flanker Task","10","7530","14","yes","1024"
"NA","73.33333333333333","73.33333333333333","535.2666666666667","535.2666666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","14","14","0","14","0","14","0","0","0","14","14","14","14","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","499","NA","30023","NA","NA","499","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33777","NA","NA","59779","52194","3748","NA","NA","60909","3753","NA","NA","61013","61513","60906","61013","Flanker Task","11","8029","15","yes","1024"
"NA","75","75","531.4375","531.4375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","15","15","0","15","0","15","0","0","0","15","15","15","15","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","474","NA","30023","NA","NA","474","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33777","NA","NA","61521","52194","3748","NA","NA","62682","3753","NA","NA","62786","63261","62680","62786","Flanker Task","12","8503","16","yes","1024"
"NA","76.47058823529412","76.47058823529412","527.4705882352941","527.4705882352941","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","16","16","0","16","0","16","0","0","0","16","16","16","16","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","464","NA","30023","NA","NA","464","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33777","NA","NA","63267","52194","3748","NA","NA","64446","3753","NA","NA","64551","65016","64442","64551","Flanker Task","13","8967","17","yes","1024"
"NA","77.77777777777777","77.77777777777777","519.8888888888889","519.8888888888889","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","17","17","0","17","0","17","0","0","0","17","17","17","17","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","391","NA","30023","NA","NA","391","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33777","NA","NA","65022","52194","3748","NA","NA","66178","3753","NA","NA","66283","66675","66175","66281","Flanker Task","14","9358","18","yes","1024"
"NA","78.94736842105263","78.94736842105263","515.3684210526316","515.3684210526316","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","18","18","0","18","0","18","0","0","0","18","18","18","18","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","434","NA","30023","NA","NA","434","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","66681","52194","3748","NA","NA","67830","3753","NA","NA","67934","68369","67828","67934","Flanker Task","15","9792","19","yes","1024"
"NA","80","80","510.65","510.65","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","19","19","0","19","0","19","0","0","0","19","19","19","19","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","421","NA","30023","NA","NA","421","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","68374","52194","3748","NA","NA","69524","3753","NA","NA","69628","70049","69521","69628","Flanker Task","16","10213","20","yes","1024"
