condition,deadline,Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_errorFeedback,count_experiment,count_faster,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_errorFeedback,time_experiment,time_faster,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Incongruent,1500,HHSHH,100,100,662,662,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,662,NA,33139,NA,NA,662,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,37868,NA,4652,NA,NA,37863,37974,NA,4613,NA,37974,38638,Flanker Task,1,662,1,yes,1024
Incongruent,1500,HHSHH,100,100,641.5,641.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,621,NA,33139,NA,NA,621,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,39722,38646,4652,NA,NA,39716,39826,NA,4613,NA,39827,40449,Flanker Task,2,1283,2,yes,1024
Congruent,1500,SSSSS,100,100,593,593,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,2,2,0,0,0,2,2,2,0,2,2,2,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,496,NA,33139,NA,NA,496,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,41519,40453,4652,NA,NA,41515,41622,NA,4613,NA,41622,42119,Flanker Task,3,1779,3,yes,1024
Congruent,1500,SSSSS,100,100,561,561,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,3,3,0,0,0,3,3,3,0,3,3,3,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,465,NA,33139,NA,NA,465,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,43188,42123,4652,NA,NA,43185,43290,NA,4613,NA,43290,43756,Flanker Task,4,2244,4,yes,1024
Incongruent,1500,SSHSS,100,100,565,565,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,4,4,0,0,0,4,4,4,0,4,4,4,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,581,NA,33139,NA,NA,581,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,44825,43760,4652,NA,NA,44822,44927,NA,4613,NA,44928,45509,Flanker Task,5,2825,5,yes,1024
Incongruent,1500,HHSHH,100,100,550,550,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,5,5,0,0,0,5,5,5,0,5,5,5,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,475,NA,33139,NA,NA,475,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,46582,45515,4652,NA,NA,46576,46684,NA,4613,NA,46685,47161,Flanker Task,6,3300,6,yes,1024
Incongruent,1500,HHSHH,100,100,543.8571429,543.8571429,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,6,6,0,0,0,6,6,6,0,6,6,6,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,507,NA,33139,NA,NA,507,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,48229,47165,4652,NA,NA,48226,48331,NA,4613,NA,48331,48839,Flanker Task,7,3807,7,yes,1024
Congruent,1500,HHHHH,100,100,520.5,520.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,7,7,0,0,0,7,7,7,0,7,7,7,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,357,NA,33139,NA,NA,357,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,49908,48843,4652,NA,NA,49905,50011,NA,4613,NA,50011,50369,Flanker Task,8,4164,8,yes,1024
Congruent,1500,SSSSS,100,100,520.5555556,520.5555556,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,8,8,0,0,0,8,8,8,0,8,8,8,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,521,NA,33139,NA,NA,521,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,51439,50374,4652,NA,NA,51435,51541,NA,4613,NA,51541,52063,Flanker Task,9,4685,9,yes,1024
Congruent,1500,SSSSS,100,100,526.9,526.9,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,9,9,0,0,0,9,9,9,0,9,9,9,Sun Sep 19 11:58:36 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/samonemarks/Desktop/SM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,584,NA,33139,NA,NA,584,2,legacy,1024,2,48000,-16,experiment,1,odd,37803,NA,NA,NA,53134,52068,4652,NA,NA,53131,53236,NA,4613,NA,53236,53821,Flanker Task,10,5269,10,yes,1024
