"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909091","90.9090909091","558.727272727","558.727272727","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","10","0","0","0","10","0","10","10","10","10","10","10","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","330","NA","33222","NA","NA","330","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36123","NA","NA","NA","53265","2899","NA","NA","NA","2895","NA","54388","54497","54828","54383","54496","Flanker Task","10","6146","11","yes","1024"
"91.6666666667","91.6666666667","547.666666667","547.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","11","0","0","0","11","0","11","11","11","11","11","11","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","426","NA","33222","NA","NA","426","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36123","NA","NA","NA","55343","2899","NA","NA","54835","2895","NA","56468","56576","57002","56463","56576","Flanker Task","11","6572","12","yes","1024"
"92.3076923077","92.3076923077","542.153846154","542.153846154","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","12","0","0","0","12","0","12","12","12","12","12","12","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","476","NA","33222","NA","NA","476","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36123","NA","NA","NA","57008","2899","NA","NA","54835","2895","NA","58122","58231","58708","58118","58230","Flanker Task","12","7048","13","yes","1024"
"92.8571428571","92.8571428571","542.428571429","542.428571429","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","13","0","0","0","13","0","13","13","13","13","13","13","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","546","NA","33222","NA","NA","546","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36123","NA","NA","NA","58717","2899","NA","NA","54835","2895","NA","59833","59942","60488","59829","59941","Flanker Task","13","7594","14","yes","1024"
"93.3333333333","93.3333333333","540.266666667","540.266666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","14","0","0","0","14","0","14","14","14","14","14","14","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","510","NA","33222","NA","NA","510","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36123","NA","NA","NA","60496","2899","NA","NA","54835","2895","NA","61617","61726","62237","61613","61725","Flanker Task","14","8104","15","yes","1024"
"93.75","93.75","527.3125","527.3125","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","15","0","0","0","15","0","15","15","15","15","15","15","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","333","NA","33222","NA","NA","333","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36123","NA","NA","NA","62247","2899","NA","NA","54835","2895","NA","63356","63464","63798","63352","63464","Flanker Task","15","8437","16","yes","1024"
"94.1176470588","94.1176470588","514.176470588","514.176470588","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","16","0","0","0","16","0","16","16","16","16","16","16","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","304","NA","33222","NA","NA","304","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36123","NA","NA","NA","63806","2899","NA","NA","54835","2895","NA","64921","65029","65334","64917","65028","Flanker Task","16","8741","17","yes","1024"
"94.4444444444","94.4444444444","509.5","509.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","17","0","0","0","17","0","17","17","17","17","17","17","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","430","NA","33222","NA","NA","430","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36123","NA","NA","NA","65344","2899","NA","NA","54835","2895","NA","66459","66567","66998","66454","66567","Flanker Task","17","9171","18","yes","1024"
"94.7368421053","94.7368421053","501.473684211","501.473684211","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","18","0","0","0","18","0","18","18","18","18","18","18","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","357","NA","33222","NA","NA","357","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36123","NA","NA","NA","67007","2899","NA","NA","54835","2895","NA","68115","68224","68582","68111","68223","Flanker Task","18","9528","19","yes","1024"
"95","95","496.65","496.65","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","19","0","0","0","19","0","19","19","19","19","19","19","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","405","NA","33222","NA","NA","405","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36123","NA","NA","NA","68589","2899","NA","NA","54835","2895","NA","69702","69812","70217","69698","69811","Flanker Task","19","9933","20","yes","1024"
