acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboardresponse,correct_response,count_Block1,count_Block2,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_block3,count_errorFeedback,count_experiment,count_faster,count_getting_started,count_keyboardresponse,count_logger,count_welcome,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboardresponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboardresponse,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_block3,time_errorFeedback,time_experiment,time_faster,time_getting_started,time_keyboardresponse,time_logger,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
72.72727273,72.72727273,794.2727273,794.2727273,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,10,10,0,0,0,10,10,0,10,0,10,NA,10,10,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,10,10,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,799,NA,11891,NA,NA,799,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,14220,NA,NA,36206,35116,2328,NA,NA,36204,36307,NA,26286,2324,NA,NA,36307,37107,NA,Lab 2.1 Test Flanker Task,8,8737,11,yes,1024
75,75,777.75,777.75,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,11,0,0,0,11,11,0,11,0,11,NA,11,11,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,11,11,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,596,NA,11891,NA,NA,596,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,14220,NA,NA,38219,37127,2328,NA,NA,38216,38323,NA,26286,2324,NA,NA,38323,38919,NA,Lab 2.1 Test Flanker Task,9,9333,12,yes,1024
76.92307692,76.92307692,765.7692308,765.7692308,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,12,12,0,0,0,12,12,0,12,0,12,NA,12,12,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,12,12,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,622,NA,11891,NA,NA,622,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,14220,NA,NA,40080,38974,2328,NA,NA,40077,40183,NA,26286,2324,NA,NA,40183,40806,NA,Lab 2.1 Test Flanker Task,10,9955,13,yes,1024
78.57142857,78.57142857,777.5714286,777.5714286,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,13,13,0,0,0,13,13,0,13,0,13,NA,13,13,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,13,13,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,931,NA,11891,NA,NA,931,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,41933,40849,2328,NA,NA,41930,42037,NA,26286,2324,NA,NA,42038,42970,NA,Lab 2.1 Test Flanker Task,11,10886,14,yes,1024
80,80,778.7333333,778.7333333,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,14,14,0,0,0,14,14,0,14,0,14,NA,14,14,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,14,14,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,795,NA,11891,NA,NA,795,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,44114,43020,2328,NA,NA,44112,44218,NA,26286,2324,NA,NA,44218,45013,NA,Lab 2.1 Test Flanker Task,12,11681,15,yes,1024
81.25,81.25,772.125,772.125,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,15,15,0,0,0,15,15,0,15,0,15,NA,15,15,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,15,15,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,673,NA,11891,NA,NA,673,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,46149,45064,2328,NA,NA,46147,46253,NA,26286,2324,NA,NA,46253,46927,NA,Lab 2.1 Test Flanker Task,13,12354,16,yes,1024
82.35294118,82.35294118,757.2941176,757.2941176,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,16,16,0,0,0,16,16,0,16,0,16,NA,16,16,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,16,16,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,520,NA,11891,NA,NA,520,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,48041,46949,2328,NA,NA,48038,48142,NA,26286,2324,NA,NA,48142,48662,NA,Lab 2.1 Test Flanker Task,14,12874,17,yes,1024
83.33333333,83.33333333,741.1666667,741.1666667,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,17,17,0,0,0,17,17,0,17,0,17,NA,17,17,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,17,17,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,467,NA,11891,NA,NA,467,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,14220,NA,NA,49823,48720,2328,NA,NA,49821,49927,NA,26286,2324,NA,NA,49927,50395,NA,Lab 2.1 Test Flanker Task,15,13341,18,yes,1024
84.21052632,84.21052632,740.1052632,740.1052632,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,18,18,0,0,0,18,18,0,18,0,18,NA,18,18,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,18,18,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,721,NA,11891,NA,NA,721,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,51536,50438,2328,NA,NA,51534,51640,NA,26286,2324,NA,NA,51640,52361,NA,Lab 2.1 Test Flanker Task,16,14062,19,yes,1024
85,85,726.65,726.65,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,19,19,0,0,0,19,19,0,19,0,19,NA,19,19,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,19,19,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,471,NA,11891,NA,NA,471,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,14220,NA,NA,53475,52394,2328,NA,NA,53472,53578,NA,26286,2324,NA,NA,53578,54050,NA,Lab 2.1 Test Flanker Task,17,14533,20,yes,1024
