"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_Sequence","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_Sequence","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909090909","90.9090909090909","607.8181818181819","607.8181818181819","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","10","10","0","0","0","10","0","10","0","10","0","0","0","10","10","10","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","574","NA","134675","NA","NA","574","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","154280","155354","136789","NA","NA","146902","2105","NA","NA","155356","2113","NA","NA","155458","156033","155458","Flanker Task","10","6686","11","yes","1024"
"91.66666666666667","91.66666666666667","605.1666666666666","605.1666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","11","11","0","0","0","11","0","11","0","11","0","0","0","11","11","11","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","576","NA","134675","NA","NA","576","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","156037","157112","136789","NA","NA","146902","2105","NA","NA","157115","2113","NA","NA","157217","157794","157217","Flanker Task","11","7262","12","yes","1024"
"92.3076923076923","92.3076923076923","597","597","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","12","12","0","0","0","12","0","12","0","12","0","0","0","12","12","12","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","499","NA","134675","NA","NA","499","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","157798","158872","136789","NA","NA","146902","2105","NA","NA","158874","2113","NA","NA","158976","159476","158976","Flanker Task","12","7761","13","yes","1024"
"92.85714285714286","92.85714285714286","598.2857142857143","598.2857142857143","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","13","13","0","0","0","13","0","13","0","13","0","0","0","13","13","13","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","615","NA","134675","NA","NA","615","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","159480","160553","136789","NA","NA","146902","2105","NA","NA","160556","2113","NA","NA","160658","161274","160658","Flanker Task","13","8376","14","yes","1024"
"93.33333333333333","93.33333333333333","591.8","591.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","14","14","0","0","0","14","0","14","0","14","0","0","0","14","14","14","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","501","NA","134675","NA","NA","501","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","161278","162351","136789","NA","NA","146902","2105","NA","NA","162353","2113","NA","NA","162456","162958","162456","Flanker Task","14","8877","15","yes","1024"
"93.75","93.75","589.875","589.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","15","15","0","0","0","15","0","15","0","15","0","0","0","15","15","15","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","561","NA","134675","NA","NA","561","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","162962","164036","136789","NA","NA","146902","2105","NA","NA","164038","2113","NA","NA","164140","164702","164140","Flanker Task","15","9438","16","yes","1024"
"94.11764705882354","94.11764705882354","594","594","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","16","16","0","0","0","16","0","16","0","16","0","0","0","16","16","16","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","660","NA","134675","NA","NA","660","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","164707","165780","136789","NA","NA","146902","2105","NA","NA","165782","2113","NA","NA","165884","166545","165884","Flanker Task","16","10098","17","yes","1024"
"94.44444444444444","94.44444444444444","595.2777777777778","595.2777777777778","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","17","17","0","0","0","17","0","17","0","17","0","0","0","17","17","17","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","617","NA","134675","NA","NA","617","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","166549","167623","136789","NA","NA","146902","2105","NA","NA","167625","2113","NA","NA","167727","168344","167727","Flanker Task","17","10715","18","yes","1024"
"94.73684210526316","94.73684210526316","588.6842105263158","588.6842105263158","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","18","18","0","0","0","18","0","18","0","18","0","0","0","18","18","18","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","470","NA","134675","NA","NA","470","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","168348","169428","136789","NA","NA","146902","2105","NA","NA","169430","2113","NA","NA","169532","170003","169532","Flanker Task","18","11185","19","yes","1024"
"95","95","584.7","584.7","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","19","19","0","0","0","19","0","19","0","19","0","0","0","19","19","19","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","509","NA","134675","NA","NA","509","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","170008","171081","136789","NA","NA","146902","2105","NA","NA","171084","2113","NA","NA","171186","171696","171186","Flanker Task","19","11694","20","yes","1024"
