"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_Sequence","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_Sequence","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","633","633","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","633","NA","99243","NA","NA","633","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","101429","101317","NA","NA","NA","2066","NA","NA","101432","2072","NA","NA","101534","102168","101534","Flanker Task","1","633","1","yes","1024"
"100","100","520.5","520.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","408","NA","99243","NA","NA","408","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","102176","103254","101317","NA","NA","NA","2066","NA","NA","103256","2072","NA","NA","103358","103767","103358","Flanker Task","2","1041","2","yes","1024"
"100","100","505.3333333333333","505.3333333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","475","NA","99243","NA","NA","475","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","103771","104851","101317","NA","NA","NA","2066","NA","NA","104854","2072","NA","NA","104956","105432","104956","Flanker Task","3","1516","3","yes","1024"
"100","100","463.5","463.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","3","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","338","NA","99243","NA","NA","338","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","105436","106509","101317","NA","NA","NA","2066","NA","NA","106512","2072","NA","NA","106614","106952","106614","Flanker Task","4","1854","4","yes","1024"
"100","100","441.6","441.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","4","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","354","NA","99243","NA","NA","354","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","106957","108034","101317","NA","NA","NA","2066","NA","NA","108037","2072","NA","NA","108139","108493","108139","Flanker Task","5","2208","5","yes","1024"
"100","100","449.3333333333333","449.3333333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","5","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","488","NA","99243","NA","NA","488","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","108498","109574","101317","NA","NA","NA","2066","NA","NA","109577","2072","NA","NA","109679","110168","109679","Flanker Task","6","2696","6","yes","1024"
"85.71428571428571","85.71428571428571","437.85714285714283","437.85714285714283","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","6","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","h","NA","NA","h","369","NA","99243","NA","NA","369","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","110172","111247","101317","NA","NA","NA","2066","NA","NA","111249","2072","NA","NA","111351","111721","111351","Flanker Task","6","3065","7","yes","1024"
"87.5","87.5","437.75","437.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","437","NA","99243","NA","NA","437","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","112227","113302","101317","NA","NA","111724","2066","NA","NA","113305","2072","NA","NA","113407","113845","113407","Flanker Task","7","3502","8","yes","1024"
"88.88888888888889","88.88888888888889","440.6666666666667","440.6666666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","8","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","464","NA","99243","NA","NA","464","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","113849","114925","101317","NA","NA","111724","2066","NA","NA","114928","2072","NA","NA","115030","115495","115030","Flanker Task","8","3966","9","yes","1024"
"90","90","426.8","426.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","Sun Sep 26 16:54:32 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/School/Research Methods/LW-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","h","NA","NA","s","302","NA","99243","NA","NA","302","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","115499","116574","101317","NA","NA","111724","2066","NA","NA","116577","2072","NA","NA","116679","116982","116679","Flanker Task","9","4268","10","yes","1024"
