"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_Sequence","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_Sequence","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1033","1033","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","1033","NA","46032","NA","NA","1033","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","NA","47868","47793","NA","NA","NA","1754","NA","NA","47871","1760","NA","NA","47973","49007","47973","Flanker Task","1","1033","1","yes","1024"
"100","100","783.5","783.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","534","NA","46032","NA","NA","534","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","49015","50088","47793","NA","NA","NA","1754","NA","NA","50091","1760","NA","NA","50193","50728","50193","Flanker Task","2","1567","2","yes","1024"
"100","100","802.3333333333334","802.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","2","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","840","NA","46032","NA","NA","840","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","50732","51806","47793","NA","NA","NA","1754","NA","NA","51809","1760","NA","NA","51911","52752","51911","Flanker Task","3","2407","3","yes","1024"
"100","100","789.75","789.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","752","NA","46032","NA","NA","752","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","52756","53829","47793","NA","NA","NA","1754","NA","NA","53832","1760","NA","NA","53934","54687","53934","Flanker Task","4","3159","4","yes","1024"
"100","100","736","736","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","4","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","521","NA","46032","NA","NA","521","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","54692","55763","47793","NA","NA","NA","1754","NA","NA","55766","1760","NA","NA","55868","56390","55867","Flanker Task","5","3680","5","yes","1024"
"100","100","704.8333333333334","704.8333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","5","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","549","NA","46032","NA","NA","549","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","56394","57469","47793","NA","NA","NA","1754","NA","NA","57472","1760","NA","NA","57574","58124","57573","Flanker Task","6","4229","6","yes","1024"
"100","100","694.4285714285714","694.4285714285714","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","6","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","632","NA","46032","NA","NA","632","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","58128","59200","47793","NA","NA","NA","1754","NA","NA","59202","1760","NA","NA","59305","59938","59304","Flanker Task","7","4861","7","yes","1024"
"100","100","684.75","684.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","617","NA","46032","NA","NA","617","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","59942","61015","47793","NA","NA","NA","1754","NA","NA","61018","1760","NA","NA","61120","61737","61119","Flanker Task","8","5478","8","yes","1024"
"100","100","686.3333333333334","686.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","8","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","699","NA","46032","NA","NA","699","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","61741","62814","47793","NA","NA","NA","1754","NA","NA","62816","1760","NA","NA","62918","63618","62917","Flanker Task","9","6177","9","yes","1024"
"100","100","681","681","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","9","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","Sat Sep 25 17:53:42 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/School/Research Methods/LW-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","633","NA","46032","NA","NA","633","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","63622","64694","47793","NA","NA","NA","1754","NA","NA","64696","1760","NA","NA","64798","65431","64797","Flanker Task","10","6810","10","yes","1024"
