"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instuction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_getting_started","count_incorrectFeedback","count_instruction2","count_instuction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_prode","count_thankYou","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction2","response_instuction1","response_keyboard_response","response_thankYou","response_time","response_time_instruction2","response_time_instuction1","response_time_keyboard_response","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_getting_started","time_incorrectFeedback","time_instruction2","time_instuction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_prode","time_thankYou","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1254","1254","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","right","left","NA","1254","NA","44867","1254","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","51153","NA","48895","3621","NA","48918","NA","NA","NA","3636","53167","54422","49933","48529","53167","NA","NA","Sternberg Task","1","1254","1","yes","1024"
"100","100","1157","1157","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","NA","1","0","0","1","1","1","0","1","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","1060","NA","44867","1060","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","57854","54484","55601","3621","NA","55617","NA","NA","NA","3636","59868","60929","56633","48529","59868","NA","NA","Sternberg Task","2","2314","2","yes","1024"
"100","100","1010","1010","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","NA","2","0","0","2","2","2","0","2","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","716","NA","44867","716","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","64296","60956","62044","3621","NA","62058","NA","NA","NA","3636","66311","67028","63077","48529","66311","NA","NA","Sternberg Task","3","3030","3","yes","1024"
"100","100","895","895","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","NA","3","0","0","3","3","3","0","3","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","550","NA","44867","550","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","70394","67057","68147","3621","NA","68161","NA","NA","NA","3636","72409","72960","69178","48529","72409","NA","NA","Sternberg Task","4","3580","4","yes","1024"
"100","100","903.6","903.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","NA","4","0","0","4","4","4","0","4","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","NA","right","left","NA","938","NA","44867","938","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","76310","72975","74062","3621","NA","74077","NA","NA","NA","3636","78325","79264","75092","48529","78325","NA","NA","Sternberg Task","5","4518","5","yes","1024"
"100","100","857.3333333333334","857.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","NA","5","0","0","5","5","5","0","5","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","626","NA","44867","626","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","82616","79287","80372","3621","NA","80384","NA","NA","NA","3636","84630","85257","81399","48529","84629","NA","NA","Sternberg Task","6","5144","6","yes","1024"
"100","100","913.7142857142857","913.7142857142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","NA","6","0","0","6","6","6","0","6","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","1252","NA","44867","1252","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","88601","85272","86356","3621","NA","86369","NA","NA","NA","3636","90615","91868","87384","48529","90615","NA","NA","Sternberg Task","7","6396","7","yes","1024"
"100","100","905.75","905.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","NA","7","0","0","7","7","7","0","7","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","850","NA","44867","850","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","95227","91895","92980","3621","NA","92993","NA","NA","NA","3636","97241","98092","94009","48529","97240","NA","NA","Sternberg Task","8","7246","8","yes","1024"
"100","100","947.6666666666666","947.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","NA","8","0","0","8","8","8","0","8","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","1283","NA","44867","1283","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","101445","98115","99200","3621","NA","99213","NA","NA","NA","3636","103459","104743","100228","48529","103459","NA","NA","Sternberg Task","9","8529","9","yes","1024"
"100","100","967.5","967.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","NA","9","0","0","9","9","9","0","9","0","NA","Sun Oct 25 13:46:23 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/Arianna/Downloads/AG-subject-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","1146","NA","44867","1146","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","108100","104768","105854","3621","NA","105867","NA","NA","NA","3636","110114","111261","106883","48529","110114","NA","NA","Sternberg Task","10","9675","10","yes","1024"
