"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_ISI","count_Instructions1","count_Practiceloop","count_closing","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instructions2","count_keyboard_response","count_logger","count_memoryset","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_suppress_warnings","repeat_cycle","response","response_Instructions1","response_closing","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_closing","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions1","time_Practiceloop","time_closing","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instructions2","time_keyboard_response","time_logger","time_memoryset","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","775.145454545","775.145454545","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","54","0","0","0","54","0","0","54","54","54","0","54","54","54","54","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","42","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","7 8 4 6 9 5","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","left","NA","space","left","598","7556","NA","35110","598","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","379808","1933","9490","NA","376456","1926","120642","377594","377596","NA","85532","381814","382414","378601","381814","Sternberg Task","55","42633","55","yes","1024"
"100","100","773.767857143","773.767857143","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","55","0","0","0","55","0","0","55","55","55","0","55","55","55","55","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","43","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","1 4 9 2 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","698","7556","NA","35110","698","2","legacy","5","1024","2","48000","-16","experiment","3","odd","7","385794","1933","9490","NA","382419","1926","120642","383579","383582","NA","85532","387800","388500","384587","387800","Sternberg Task","56","43331","56","yes","1024"
"100","100","770.912280702","770.912280702","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","56","0","0","0","56","0","0","56","56","56","0","56","56","56","56","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","44","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","7 1 3","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","left","NA","space","left","611","7556","NA","35110","611","2","legacy","3","1024","2","48000","-16","experiment","3","odd","1","391868","1933","9490","NA","388505","1926","120642","389653","389656","NA","85532","393874","394487","390662","393874","Sternberg Task","57","43942","57","yes","1024"
"100","100","767.672413793","767.672413793","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","57","0","0","0","57","0","0","57","57","57","0","57","57","57","57","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","45","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","5 2 6","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","left","NA","space","left","583","7556","NA","35110","583","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","397842","1933","9490","NA","394492","1926","120642","395629","395631","NA","85532","399849","400433","396637","399849","Sternberg Task","58","44525","58","yes","1024"
"98.3050847458","98.3050847458","768.745762712","768.745762712","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","58","0","0","0","58","0","0","58","58","58","0","58","58","58","58","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","46","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","5 2 9 6 1 7","Lentiform Loewenfeld","3.3.3","3","y","yes","0","right","left","NA","space","right","831","7556","NA","35110","831","2","legacy","6","1024","2","48000","-16","experiment","3","odd","9","403794","1933","9490","NA","400438","1926","120642","401579","401582","NA","85532","405800","406632","402588","405799","Sternberg Task","58","45356","59","yes","1024"
"98.3333333333","98.3333333333","765.616666667","765.616666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","59","0","0","0","59","0","0","59","59","59","0","59","59","59","59","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","47","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","6 8 9 3 4 9","Lentiform Loewenfeld","3.3.3","5","y","yes","0","left","left","NA","space","left","581","7556","NA","35110","581","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","409990","1933","9490","NA","400438","1926","120642","407776","407778","406637","85532","411996","412579","408784","411995","Sternberg Task","59","45937","60","yes","1024"
"98.3606557377","98.3606557377","761.836065574","761.836065574","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","60","0","0","0","60","0","0","60","60","60","0","60","60","60","60","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","48","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","3 4 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","535","7556","NA","35110","535","2","legacy","3","1024","2","48000","-16","experiment","3","odd","5","415932","1933","9490","NA","412584","1926","120642","413717","413720","406637","85532","417938","418475","414726","417937","Sternberg Task","60","46472","61","yes","1024"
"98.3870967742","98.3870967742","759.35483871","759.35483871","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","61","0","0","0","61","0","0","61","61","61","0","61","61","61","61","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","49","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","6 7 8 5","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","left","NA","space","left","608","7556","NA","35110","608","2","legacy","4","1024","2","48000","-16","experiment","3","odd","8","421835","1933","9490","NA","418480","1926","120642","419620","419623","406637","85532","423841","424451","420629","423840","Sternberg Task","61","47080","62","yes","1024"
"98.4126984127","98.4126984127","762.920634921","762.920634921","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","62","0","0","0","62","0","0","62","62","62","0","62","62","62","62","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","50","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","8 4 3 9","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","984","7556","NA","35110","984","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","427808","1933","9490","NA","424459","1926","120642","425593","425596","406637","85532","429815","430800","426602","429814","Sternberg Task","62","48064","63","yes","1024"
"98.4375","98.4375","761.40625","761.40625","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","63","0","0","0","63","0","0","63","63","63","0","63","63","63","63","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","51","11","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","1 3 2 6 9","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","space","right","666","7556","NA","35110","666","2","legacy","5","1024","2","48000","-16","experiment","3","odd","5","434165","1933","9490","NA","430806","1926","120642","431951","431954","406637","85532","436172","436840","432959","436172","Sternberg Task","63","48730","64","yes","1024"
