"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Instructions2","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_instruction1","response_keyboard_response","response_thankYou","response_time","response_time_Instructions2","response_time_instruction1","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions2","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"63.6363636364","63.6363636364","627.727272727","627.727272727","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","10","0","10","10","0","0","10","10","0","10","10","10","0","10","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","707","NA","7216","707","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","80215","NA","76801","78001","6785","NA","78005","64622","6792","82221","82929","79010","14010","82220","NA","Sternberg task","7","6905","11","yes","1024"
"66.6666666667","66.6666666667","610.333333333","610.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","11","0","11","11","0","0","11","11","0","11","11","11","0","11","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","NA","right","left","NA","419","NA","7216","419","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","86377","NA","76801","84162","6785","NA","84166","82963","6792","88381","88801","85172","14010","88381","NA","Sternberg task","8","7324","12","yes","1024"
"69.2307692308","69.2307692308","610.538461538","610.538461538","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","12","0","12","12","0","0","12","12","0","12","12","12","0","12","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","1 7 8 3 9","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","613","10755","7216","613","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","2","103132","89877","88830","100919","6785","100633","100923","82963","6792","105139","105753","101926","14010","105139","NA","Sternberg task","9","7937","13","yes","1024"
"71.4285714286","71.4285714286","599.571428571","599.571428571","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","13","0","13","13","0","0","13","13","0","13","13","13","0","13","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","2 5 4 8 7","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","right","left","NA","457","10755","7216","457","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","4","109194","89877","105777","106980","6785","100633","106984","82963","6792","111199","111657","107989","14010","111199","NA","Sternberg task","10","8394","14","yes","1024"
"73.3333333333","73.3333333333","597.666666667","597.666666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","0","14","14","0","0","14","14","0","14","14","14","0","14","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","6 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","571","10755","7216","571","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","115103","89877","111687","112888","6785","100633","112892","82963","6792","117109","117681","113897","14010","117109","NA","Sternberg task","11","8965","15","yes","1024"
"75","75","584.25","584.25","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","15","0","15","15","0","0","15","15","0","15","15","15","0","15","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","6 1 2","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","right","left","NA","383","10755","7216","383","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","121138","89877","117722","118922","6785","100633","118926","82963","6792","123144","123529","119931","14010","123143","NA","Sternberg task","12","9348","16","yes","1024"
"70.5882352941","70.5882352941","570.823529412","570.823529412","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","16","0","16","16","0","0","16","16","0","16","16","16","0","16","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","2 6 1 7 4","Lentiform Loewenfeld","3.3.3","2","y","0","right","right","right","right","NA","356","10755","7216","356","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","6","126973","89877","123557","124758","6785","100633","124762","82963","6792","128980","129337","125767","14010","128979","NA","Sternberg task","12","9704","17","yes","1024"
"72.2222222222","72.2222222222","571.833333333","571.833333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","17","0","17","17","0","0","17","17","0","17","17","17","0","17","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","3 4 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","right","right","NA","589","10755","7216","589","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","5","132774","89877","123557","130560","6785","100633","130564","129358","6792","134779","135369","131569","14010","134779","NA","Sternberg task","13","10293","18","yes","1024"
"68.4210526316","68.4210526316","569.157894737","569.157894737","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","18","0","18","18","0","0","18","18","0","18","18","18","0","18","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","1 4 9 2 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","right","left","NA","521","10755","7216","521","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","7","138808","89877","135394","136592","6785","100633","136596","129358","6792","140814","141337","137601","14010","140813","NA","Sternberg task","13","10814","19","yes","1024"
"65","65","567.3","567.3","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","19","0","19","19","0","0","19","19","0","19","19","19","0","19","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","4 3 2 5 8","Lentiform Loewenfeld","3.3.3","2","y","0","right","right","right","right","NA","532","10755","7216","532","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","144775","89877","135394","142561","6785","100633","142565","141361","6792","146779","147313","143569","14010","146779","NA","Sternberg task","13","11346","20","yes","1024"
