"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_isi","count_keyboard_response","count_logger","count_memorySet","count_practiceloop","count_prob","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_isi","time_keyboard_response","time_logger","time_memorySet","time_practiceloop","time_prob","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","None","right","NA","None","NA","2000","511305","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","NA","516537","4569","NA","516539","NA","4577","NA","518746","520750","522750","517542","515883","520750","NA","Sternberg Task","0","2000","1","yes","1024"
"50","50","1626","1626","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","0","0","1","1","0","0","1","1","1","1","0","1","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","1252","511305","NA","1252","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","NA","523880","4569","NA","523881","522799","4577","NA","526087","528088","529341","524883","515883","528088","NA","Sternberg Task","1","3252","2","yes","1024"
"66.6666666667","66.6666666667","1415.33333333","1415.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","0","2","2","0","0","2","2","2","2","0","2","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","994","511305","NA","994","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","529352","530414","4569","NA","530415","522799","4577","NA","532620","534621","535616","531416","515883","534621","NA","Sternberg Task","2","4246","3","yes","1024"
"75","75","1274.75","1274.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","0","3","3","0","0","3","3","3","3","0","3","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","853","511305","NA","853","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","535629","536688","4569","NA","536689","522799","4577","NA","538894","540895","541748","537690","515883","540895","NA","Sternberg Task","3","5099","4","yes","1024"
"80","80","1223","1223","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","0","4","4","0","0","4","4","4","4","0","4","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1016","511305","NA","1016","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","541761","542818","4569","NA","542819","522799","4577","NA","545024","547025","548042","543820","515883","547025","NA","Sternberg Task","4","6115","5","yes","1024"
"83.3333333333","83.3333333333","1201.33333333","1201.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1093","511305","NA","1093","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","548054","549112","4569","NA","549113","522799","4577","NA","551320","553321","554415","550116","515883","553321","NA","Sternberg Task","5","7208","6","yes","1024"
"85.7142857143","85.7142857143","1207.71428571","1207.71428571","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","0","6","6","0","0","6","6","6","6","0","6","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","1246","511305","NA","1246","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","554427","555485","4569","NA","555486","522799","4577","NA","557690","559692","560939","556487","515883","559691","NA","Sternberg Task","6","8454","7","yes","1024"
"75","75","1236.125","1236.125","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","7","0","0","7","7","0","0","7","7","7","7","0","7","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","right","right","NA","right","NA","1435","511305","NA","1435","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","560952","562009","4569","NA","562011","522799","4577","NA","564216","566217","567653","563012","515883","566217","NA","Sternberg Task","6","9889","8","yes","1024"
"77.7777777778","77.7777777778","1259.33333333","1259.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","0","0","8","8","0","0","8","8","8","8","0","8","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1445","511305","NA","1445","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","560952","568725","4569","NA","568727","567666","4577","NA","570931","572932","574377","569728","515883","572932","NA","Sternberg Task","7","11334","9","yes","1024"
"80","80","1258.6","1258.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","0","9","9","0","0","9","9","9","9","0","9","0","10/22/20 21:31:32","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1252","511305","NA","1252","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","574389","575446","4569","NA","575447","567666","4577","NA","577655","579656","580908","576450","515883","579656","NA","Sternberg Task","8","12586","10","yes","1024"
