"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_Fixation","count_IncorrectFeedback","count_Instructions2","count_MemSet","count_ThankYou","count_correctfeedback","count_expLoop","count_expSequence","count_experiment","count_instruction1","count_isi","count_keyboard_response","count_logger","count_practiceLoop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_ThankYou","response_instruction1","response_keyboard_response","response_time","response_time_Instructions2","response_time_ThankYou","response_time_instruction1","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_IncorrectFeedback","time_Instructions2","time_MemSet","time_ThankYou","time_correctfeedback","time_expLoop","time_expSequence","time_experiment","time_instruction1","time_isi","time_keyboard_response","time_logger","time_practiceLoop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1015","1015","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","down","right","1015","NA","NA","5605","1015","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","8391","NA","NA","9392","NA","NA","NA","8389","2178","2182","10594","12596","13611","7788","12595","Sternberg task","1","1015","1","yes","1024"
"100","100","943","943","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","0","1","0","1","0","1","0","0","1","1","1","0","1","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","NA","NA","down","left","871","NA","NA","5605","871","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","14766","NA","NA","15767","NA","13669","NA","14764","2178","2182","16969","18971","19843","7788","18970","Sternberg task","2","1886","2","yes","1024"
"100","100","916.6666666666666","916.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","2","0","2","0","2","0","0","2","2","2","0","2","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","NA","down","left","864","NA","NA","5605","864","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","20941","NA","NA","21942","NA","19847","NA","20939","2178","2182","23143","25146","26010","7788","25145","Sternberg task","3","2750","3","yes","1024"
"100","100","922.25","922.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","3","0","3","0","3","0","0","3","3","3","0","3","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","down","right","939","NA","NA","5605","939","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","27107","NA","NA","28112","NA","26014","NA","27105","2178","2182","29317","31323","32263","7788","31322","Sternberg task","4","3689","4","yes","1024"
"100","100","871.6","871.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","4","0","4","0","4","0","0","4","4","4","0","4","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","down","right","669","NA","NA","5605","669","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","33424","NA","NA","34430","NA","32278","NA","33422","2178","2182","35635","37640","38310","7788","37640","Sternberg task","5","4358","5","yes","1024"
"100","100","882.3333333333334","882.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","0","5","0","5","0","0","5","5","5","0","5","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","NA","NA","down","left","936","NA","NA","5605","936","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","39462","NA","NA","40467","NA","38318","NA","39459","2178","2182","41672","43677","44614","7788","43677","Sternberg task","6","5294","6","yes","1024"
"85.71428571428571","85.71428571428571","1042","1042","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","6","6","0","6","0","6","0","6","0","0","6","6","6","0","6","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","None","NA","NA","down","None","2000","NA","NA","5605","2000","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","45764","NA","NA","46769","NA","44623","NA","45762","2178","2182","47974","49980","51980","7788","49979","Sternberg task","6","7294","7","yes","1024"
"87.5","87.5","993.25","993.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","7","0","7","0","7","0","0","7","7","7","0","7","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","NA","down","left","652","NA","NA","5605","652","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","53156","51989","NA","54161","NA","44623","NA","53154","2178","2182","55366","57371","58023","7788","57371","Sternberg task","7","7946","8","yes","1024"
"88.88888888888889","88.88888888888889","939.5555555555555","939.5555555555555","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","0","8","0","8","0","0","8","8","8","0","8","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","NA","down","left","510","NA","NA","5605","510","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","59186","51989","NA","60191","NA","58032","NA","59183","2178","2182","61396","63401","63911","7788","63401","Sternberg task","8","8456","9","yes","1024"
"90","90","923.8","923.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","9","0","9","0","9","0","0","9","9","9","0","9","Tue Oct 20 12:42:08 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/chris/OneDrive/Desktop/CM-subject-2.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","down","right","782","NA","NA","5605","782","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","65056","51989","NA","66061","NA","63920","NA","65054","2178","2182","67266","69271","70053","7788","69271","Sternberg task","9","9238","10","yes","1024"
