"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Instructions2","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_instruction1","response_keyboard_response","response_thankYou","response_time","response_time_Instructions2","response_time_instruction1","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions2","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","533","533","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","NA","right","left","NA","533","NA","2303","533","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","10106","NA","NA","7890","3332","NA","7895","NA","3343","12113","12647","8900","5648","12112","NA","Sternberg task","1","533","1","yes","1024"
"50","50","503","503","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","0","1","1","0","0","1","1","0","1","1","1","0","1","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","473","NA","2303","473","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","16281","NA","12861","14065","3332","NA","14069","NA","3343","18286","18760","15075","5648","18286","NA","Sternberg task","1","1006","2","yes","1024"
"66.6666666667","66.6666666667","503.666666667","503.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","0","0","2","2","0","2","2","2","0","2","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","right","left","NA","505","NA","2303","505","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","22206","NA","12861","19990","3332","NA","19994","18790","3343","24213","24719","21000","5648","24212","NA","Sternberg task","2","1511","3","yes","1024"
"75","75","474.75","474.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","0","3","3","0","0","3","3","0","3","3","3","0","3","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","NA","right","left","NA","388","NA","2303","388","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","28180","NA","24768","25965","3332","NA","25969","18790","3343","30186","30575","26974","5648","30186","NA","Sternberg task","3","1899","4","yes","1024"
"80","80","459.2","459.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","0","0","4","4","0","4","4","4","0","4","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","397","NA","2303","397","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","34019","NA","30610","31808","3332","NA","31812","18790","3343","36025","36424","32816","5648","36025","NA","Sternberg task","4","2296","5","yes","1024"
"66.6666666667","66.6666666667","451.333333333","451.333333333","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","0","5","5","0","0","5","5","0","5","5","5","0","5","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","412","NA","2303","412","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","39869","NA","36453","37654","3332","NA","37658","18790","3343","41875","42288","38663","5648","41875","NA","Sternberg task","4","2708","6","yes","1024"
"71.4285714286","71.4285714286","487.857142857","487.857142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","0","0","6","6","0","6","6","6","0","6","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","707","NA","2303","707","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","45735","NA","36453","43520","3332","NA","43524","42322","3343","47740","48448","44529","5648","47740","NA","Sternberg task","5","3415","7","yes","1024"
"75","75","483","483","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","7","7","0","0","7","7","0","7","7","7","0","7","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","449","NA","2303","449","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","51882","NA","48473","49669","3332","NA","49673","42322","3343","53886","54336","50677","5648","53886","NA","Sternberg task","6","3864","8","yes","1024"
"77.7777777778","77.7777777778","468.111111111","468.111111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","0","0","8","8","0","8","8","8","0","8","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","349","NA","2303","349","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","57773","NA","54358","55558","3332","NA","55562","42322","3343","59777","60127","56568","5648","59777","NA","Sternberg task","7","4213","9","yes","1024"
"80","80","450.7","450.7","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","9","9","9","0","9","0","10/24/20 21:23:14","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/solom/Desktop/MW-subject-3(s).csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","294","NA","2303","294","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","63563","NA","60151","61348","3332","NA","61352","42322","3343","65568","65863","62357","5648","65567","NA","Sternberg task","8","4507","10","yes","1024"
