subject,condition,distance,error,RT,side
1,incongruent,2,0,2219,left
1,congruent,3,0,1594,left
1,congruent,1,0,1547,left
1,incongruent,4,0,1953,left
1,incongruent,3,0,1594,left
1,incongruent,4,0,1781,left
1,incongruent,1,0,1454,left
1,incongruent,1,0,1547,left
1,incongruent,2,0,1734,left
1,congruent,3,0,1625,left
1,congruent,2,0,1734,left
1,congruent,4,0,1531,left
1,congruent,1,0,1516,left
1,congruent,2,0,1437,left
1,incongruent,3,0,1328,left
1,incongruent,4,0,1234,left
1,congruent,2,0,1218,left
1,incongruent,3,0,1719,left
1,congruent,4,0,1360,left
1,congruent,1,0,1516,left
1,congruent,3,0,1891,left
1,incongruent,2,0,1500,left
1,congruent,4,0,1360,left
1,incongruent,1,0,1297,left
1,incongruent,1,0,1328,left
1,incongruent,1,0,1265,left
1,incongruent,4,0,1266,left
1,incongruent,3,0,1375,left
1,congruent,2,0,1453,left
1,congruent,1,0,1203,left
1,congruent,2,0,1282,left
1,incongruent,2,0,1313,left
1,incongruent,4,0,1313,left
1,congruent,4,0,1329,left
1,congruent,2,0,1062,left
1,congruent,3,0,1141,left
1,congruent,3,0,984,left
1,congruent,4,0,1610,left
1,incongruent,2,0,1203,left
1,incongruent,1,0,1344,left
1,congruent,4,0,1250,left
1,congruent,1,0,1235,left
1,congruent,1,0,1281,left
1,congruent,3,0,1125,left
1,incongruent,4,0,1172,left
1,incongruent,2,0,1688,left
1,incongruent,3,0,1547,left
1,incongruent,3,0,1407,left
1,incongruent,4,0,1438,left
1,incongruent,2,0,1329,left
1,incongruent,3,0,1500,left
1,congruent,3,0,1453,left
1,incongruent,2,0,1437,left
1,congruent,1,0,1703,left
1,congruent,2,0,1640,left
1,congruent,2,0,1703,left
1,congruent,1,0,1344,left
1,incongruent,3,0,2141,left
1,incongruent,1,0,1765,left
1,congruent,3,0,1578,left
1,congruent,1,0,1063,left
1,incongruent,1,0,1516,left
1,congruent,4,0,1734,left
1,congruent,3,0,1609,left
1,incongruent,3,0,1406,left
1,incongruent,4,0,1000,left
1,incongruent,4,0,1297,left
1,congruent,2,0,1125,left
1,incongruent,2,0,1609,left
1,congruent,4,0,1328,left
1,incongruent,1,0,1438,left
1,congruent,4,0,1640,left
1,incongruent,3,0,1687,left
1,congruent,1,0,1391,left
1,congruent,1,0,1266,left
1,congruent,2,0,1422,left
1,incongruent,1,0,1766,left
1,incongruent,2,0,1625,left
1,congruent,4,0,1531,left
1,congruent,3,0,1672,left
1,incongruent,3,0,1282,left
1,congruent,3,0,1219,left
1,incongruent,4,0,1234,left
1,congruent,4,0,1297,left
1,incongruent,1,0,1547,left
1,incongruent,3,0,1625,left
1,incongruent,2,0,1188,left
1,incongruent,1,0,1359,left
1,incongruent,2,0,1485,left
1,congruent,2,0,1531,left
1,incongruent,4,0,1468,left
1,congruent,1,0,1469,left
1,incongruent,4,0,1219,left
1,congruent,3,0,1469,left
1,congruent,2,0,1343,left
1,congruent,4,0,1407,left
1,incongruent,2,0,1219,left
1,incongruent,4,0,1375,left
1,incongruent,1,0,1391,left
1,congruent,4,0,1297,left
1,congruent,4,0,1453,left
1,incongruent,4,0,1391,left
1,congruent,2,0,1157,left
1,incongruent,4,0,1578,left
1,congruent,3,0,1391,left
1,incongruent,3,0,2187,left
1,incongruent,1,0,1594,left
1,incongruent,2,0,2156,left
1,incongruent,3,0,1703,left
1,congruent,1,0,1578,left
1,congruent,1,0,1516,left
1,incongruent,2,0,1641,left
1,congruent,3,0,1390,left
1,congruent,2,0,1500,left
1,incongruent,3,0,1328,left
1,congruent,3,0,1219,left
1,congruent,1,0,1297,left
1,congruent,4,0,1469,left
1,incongruent,1,0,1359,left
1,congruent,2,0,1422,left
1,incongruent,4,0,1328,left
1,congruent,4,0,1110,left
1,incongruent,3,0,1125,left
1,incongruent,3,0,1219,left
1,incongruent,1,0,1172,left
1,incongruent,1,0,1390,left
1,incongruent,4,0,1407,left
1,congruent,1,0,1453,left
1,congruent,3,0,1547,left
1,incongruent,2,0,1671,left
1,congruent,4,0,1141,left
1,incongruent,2,0,1093,left
1,incongruent,3,0,1140,left
1,incongruent,4,0,1375,left
1,congruent,1,0,1344,left
1,congruent,2,0,1360,left
1,congruent,4,0,1391,left
1,congruent,2,0,1375,left
1,incongruent,1,0,1547,left
1,incongruent,2,0,1718,left
1,congruent,3,0,1250,left
1,congruent,1,0,1156,left
1,congruent,2,0,1468,left
1,congruent,3,0,1296,left
1,incongruent,4,0,1547,left
1,incongruent,1,0,1297,left
1,congruent,3,0,1531,left
1,incongruent,2,0,1187,left
1,incongruent,4,0,1266,left
1,incongruent,4,0,1265,left
1,congruent,3,0,1375,left
1,congruent,1,0,1125,left
1,incongruent,1,0,1515,left
1,incongruent,1,0,1469,left
1,incongruent,3,0,1359,left
1,incongruent,3,0,1453,left
1,incongruent,3,0,2421,left
1,congruent,1,0,1219,left
1,incongruent,2,0,1093,left
1,congruent,2,0,2218,left
1,congruent,2,0,1515,left
1,congruent,4,0,1266,left
1,congruent,4,0,1484,left
1,congruent,2,0,1516,left
1,incongruent,2,0,1359,left
1,congruent,1,0,1828,left
1,congruent,4,0,1546,left
1,congruent,3,0,1515,left
1,incongruent,3,0,1578,left
1,congruent,2,0,1406,left
1,congruent,1,0,1016,left
1,congruent,3,0,1453,left
1,incongruent,1,0,1219,left
1,incongruent,4,0,1735,left
1,congruent,2,0,1359,left
1,congruent,4,0,1188,left
1,incongruent,2,0,1484,left
1,incongruent,4,0,1500,left
1,incongruent,3,0,1578,left
1,congruent,3,0,1312,left
1,incongruent,1,0,1625,left
1,congruent,1,0,1454,left
1,incongruent,3,0,1187,left
1,congruent,4,0,1312,left
1,incongruent,1,0,2078,left
1,congruent,3,0,1687,left
1,congruent,2,0,1531,left
1,incongruent,2,0,2329,left
1,congruent,1,0,1297,left
1,incongruent,2,0,1688,left
1,congruent,4,0,1328,left
1,incongruent,4,0,1157,left
2,congruent,1,0,2656,left
2,incongruent,4,1,1438,left
2,congruent,2,0,1844,left
2,incongruent,4,1,1422,left
2,incongruent,2,0,1594,left
2,incongruent,1,0,1579,left
2,incongruent,2,0,1422,left
2,incongruent,3,0,1562,left
2,incongruent,2,0,1375,left
2,congruent,3,0,1671,left
2,congruent,3,0,1609,left
2,congruent,4,0,1375,left
2,congruent,2,0,1375,left
2,congruent,2,0,1703,left
2,incongruent,4,0,1640,left
2,congruent,3,0,1562,left
2,incongruent,3,0,1171,left
2,incongruent,1,0,1515,left
2,congruent,1,0,1359,left
2,congruent,4,0,1641,left
2,incongruent,3,0,1344,left
2,congruent,1,0,1484,left
2,congruent,4,0,1531,left
2,incongruent,1,0,1578,left
2,congruent,3,0,1703,left
2,incongruent,1,0,1547,left
2,incongruent,2,0,1703,left
2,congruent,1,0,1531,left
2,incongruent,4,0,1422,left
2,congruent,2,0,1921,left
2,congruent,4,0,1610,left
2,incongruent,1,0,1563,left
2,incongruent,4,0,1672,left
2,congruent,2,0,1562,left
2,congruent,3,0,1375,left
2,incongruent,3,0,1610,left
2,congruent,1,0,1453,left
2,congruent,4,0,1750,left
2,incongruent,2,0,1344,left
2,incongruent,2,0,1546,left
2,incongruent,1,0,1500,left
2,congruent,1,0,1281,left
2,congruent,3,0,1313,left
2,congruent,2,0,1516,left
2,congruent,4,0,1406,left
2,incongruent,4,0,1718,left
2,incongruent,3,0,1313,left
2,incongruent,3,0,1531,left
2,incongruent,4,0,1593,left
2,congruent,4,0,1375,left
2,incongruent,2,0,1297,left
2,congruent,2,0,1266,left
2,incongruent,2,0,1265,left
2,incongruent,1,0,2500,left
2,incongruent,4,0,1485,left
2,congruent,2,0,1359,left
2,congruent,1,0,1578,left
2,incongruent,3,0,1453,left
2,incongruent,1,0,1547,left
2,congruent,3,0,1781,left
2,congruent,3,0,1578,left
2,congruent,1,0,1563,left
2,congruent,4,0,1516,left
2,congruent,3,0,1297,left
2,incongruent,3,0,1250,left
2,incongruent,4,0,1375,left
2,congruent,2,0,1234,left
2,congruent,1,0,1844,left
2,incongruent,3,0,1656,left
2,congruent,4,0,1563,left
2,incongruent,2,0,1453,left
2,incongruent,1,0,1531,left
2,congruent,3,0,1282,left
2,congruent,1,0,1531,left
2,incongruent,1,0,1266,left
2,incongruent,4,0,1453,left
2,incongruent,2,0,1265,left
2,incongruent,3,0,1343,left
2,incongruent,1,0,1359,left
2,congruent,4,0,1375,left
2,congruent,4,0,1703,left
2,incongruent,3,0,1656,left
2,congruent,2,0,1531,left
2,incongruent,3,0,1297,left
2,congruent,2,0,1609,left
2,incongruent,1,0,1625,left
2,incongruent,2,0,1532,left
2,incongruent,2,0,1500,left
2,congruent,2,0,1829,left
2,congruent,1,0,1625,left
2,incongruent,4,0,1531,left
2,congruent,1,0,1469,left
2,incongruent,4,0,1500,left
2,congruent,3,0,1484,left
2,congruent,3,0,1610,left
2,congruent,4,0,1688,left
2,incongruent,4,0,1719,left
2,congruent,3,0,1437,left
2,congruent,1,0,1219,left
2,congruent,4,0,1468,left
2,incongruent,2,0,1531,left
2,incongruent,2,0,1515,left
2,congruent,2,0,1532,left
2,incongruent,4,0,1469,left
2,incongruent,1,0,1750,left
2,incongruent,3,0,1781,left
2,incongruent,3,0,1625,left
2,incongruent,4,0,1407,left
2,congruent,1,0,1250,left
2,incongruent,1,0,1297,left
2,congruent,1,0,1969,left
2,incongruent,2,0,1578,left
2,congruent,4,0,1343,left
2,congruent,2,0,1469,left
2,incongruent,3,0,1187,left
2,congruent,3,0,1594,left
2,congruent,2,0,1516,left
2,congruent,4,0,1875,left
2,incongruent,1,0,1781,left
2,congruent,3,0,1390,left
2,incongruent,3,0,1594,left
2,incongruent,4,0,1671,left
2,incongruent,4,0,1422,left
2,incongruent,4,0,1640,left
2,incongruent,2,0,1328,left
2,incongruent,1,0,1282,left
2,incongruent,1,0,1610,left
2,congruent,1,0,1937,left
2,congruent,4,0,1313,left
2,congruent,1,0,1344,left
2,incongruent,3,0,1500,left
2,incongruent,2,0,1406,left
2,incongruent,3,0,1641,left
2,congruent,4,0,1500,left
2,congruent,3,0,1468,left
2,congruent,4,0,1344,left
2,congruent,2,0,1312,left
2,incongruent,1,0,1532,left
2,congruent,1,0,1203,left
2,incongruent,2,0,1484,left
2,congruent,3,0,1453,left
2,congruent,2,0,1781,left
2,congruent,2,0,1359,left
2,congruent,3,0,1875,left
2,incongruent,1,0,1406,left
2,incongruent,4,0,1375,left
2,congruent,2,0,1172,left
2,congruent,3,0,1281,left
2,incongruent,4,0,1437,left
2,incongruent,2,0,1219,left
2,incongruent,1,0,1485,left
2,incongruent,1,0,1313,left
2,incongruent,2,0,1266,left
2,incongruent,3,0,1562,left
2,incongruent,3,0,1515,left
2,congruent,2,0,1343,left
2,congruent,1,0,1547,left
2,incongruent,2,0,1375,left
2,incongruent,4,0,1282,left
2,congruent,1,0,1515,left
2,congruent,2,0,1375,left
2,congruent,4,0,1359,left
2,congruent,4,0,1563,left
2,congruent,3,0,1359,left
2,incongruent,3,0,1454,left
2,congruent,1,0,1594,left
2,congruent,4,0,1406,left
2,congruent,3,0,1500,left
2,congruent,2,0,1656,left
2,incongruent,1,0,1406,left
2,incongruent,4,0,1390,left
2,congruent,1,0,1391,left
2,congruent,4,0,1297,left
2,congruent,4,0,1281,left
2,congruent,3,0,1453,left
2,congruent,1,0,1469,left
2,incongruent,2,0,1281,left
2,incongruent,1,0,1406,left
2,congruent,3,0,1375,left
2,incongruent,3,0,1516,left
2,incongruent,1,0,1594,left
2,congruent,1,0,1484,left
2,incongruent,3,0,2000,left
2,incongruent,2,0,1469,left
2,congruent,3,0,1484,left
2,congruent,2,0,1391,left
2,incongruent,2,0,1468,left
2,congruent,2,0,1500,left
2,incongruent,3,0,1406,left
2,incongruent,4,0,1438,left
2,congruent,4,0,1516,left
2,incongruent,4,0,1485,left
3,congruent,3,0,2172,left
3,congruent,2,0,1453,left
3,incongruent,4,0,2156,left
3,congruent,2,0,1578,left
3,congruent,4,0,1547,left
3,incongruent,3,0,2344,left
3,incongruent,1,0,1406,left
3,incongruent,2,0,1297,left
3,incongruent,3,0,1422,left
3,congruent,3,0,1578,left
3,congruent,4,0,1203,left
3,congruent,1,0,1234,left
3,incongruent,4,0,1266,left
3,congruent,1,0,1281,left
3,incongruent,2,0,1328,left
3,incongruent,2,0,1250,left
3,incongruent,1,0,1375,left
3,incongruent,3,0,1188,left
3,congruent,4,0,1078,left
3,incongruent,1,0,1313,left
3,incongruent,4,0,1515,left
3,congruent,3,0,1516,left
3,congruent,2,0,1609,left
3,congruent,1,0,1906,left
3,congruent,3,0,1391,left
3,incongruent,4,0,1281,left
3,incongruent,3,0,1016,left
3,incongruent,2,0,875,left
3,incongruent,3,0,1031,left
3,incongruent,1,0,1297,left
3,incongruent,2,0,1203,left
3,congruent,1,0,1468,left
3,congruent,4,0,1281,left
3,incongruent,4,0,1594,left
3,incongruent,1,0,1468,left
3,incongruent,4,0,1578,left
3,incongruent,1,0,1594,left
3,congruent,3,0,1547,left
3,congruent,4,0,1266,left
3,congruent,1,0,1782,left
3,congruent,4,0,1453,left
3,incongruent,2,0,1281,left
3,congruent,2,0,1406,left
3,congruent,1,0,1672,left
3,incongruent,3,0,1484,left
3,congruent,3,0,1437,left
3,congruent,2,0,1234,left
3,congruent,2,0,1313,left
3,congruent,4,0,1078,left
3,congruent,2,0,1453,left
3,congruent,3,0,1328,left
3,congruent,4,0,1343,left
3,incongruent,2,0,1250,left
3,incongruent,2,0,1297,left
3,incongruent,2,0,1656,left
3,incongruent,1,0,1469,left
3,congruent,2,0,1219,left
3,incongruent,4,0,1406,left
3,incongruent,4,0,1360,left
3,congruent,1,0,1297,left
3,congruent,1,0,1719,left
3,incongruent,3,0,1703,left
3,congruent,2,0,1609,left
3,incongruent,1,0,1094,left
3,incongruent,1,0,1313,left
3,congruent,3,0,1672,left
3,congruent,3,0,1484,left
3,incongruent,4,0,1546,left
3,congruent,1,0,1484,left
3,incongruent,3,0,1281,left
3,congruent,4,0,1844,left
3,incongruent,3,0,1750,left
3,incongruent,1,0,1094,left
3,congruent,3,0,1031,left
3,congruent,1,0,1281,left
3,congruent,4,0,1344,left
3,congruent,2,0,1390,left
3,congruent,2,0,1532,left
3,congruent,2,0,1375,left
3,incongruent,2,0,1406,left
3,congruent,1,0,1547,left
3,congruent,1,0,1657,left
3,incongruent,4,0,1329,left
3,congruent,3,0,1110,left
3,incongruent,3,0,1922,left
3,congruent,3,0,1156,left
3,incongruent,4,0,1437,left
3,incongruent,4,0,1375,left
3,incongruent,2,0,1188,left
3,incongruent,1,0,1250,left
3,incongruent,1,0,1390,left
3,incongruent,2,0,1609,left
3,congruent,4,0,1375,left
3,congruent,4,0,2016,left
3,incongruent,3,0,1422,left
3,incongruent,3,0,1344,left
3,incongruent,4,0,1141,left
3,congruent,3,0,1547,left
3,congruent,2,0,1750,left
3,incongruent,2,0,1219,left
3,congruent,1,0,1313,left
3,congruent,1,0,1344,left
3,congruent,1,0,1250,left
3,incongruent,1,0,1093,left
3,congruent,3,0,1437,left
3,congruent,4,0,1672,left
3,incongruent,1,0,1562,left
3,incongruent,1,0,1016,left
3,congruent,2,0,1047,left
3,incongruent,3,0,1406,left
3,congruent,2,0,1328,left
3,incongruent,4,0,1516,left
3,congruent,3,0,1469,left
3,congruent,4,0,1235,left
3,congruent,4,0,1313,left
3,incongruent,3,0,1140,left
3,incongruent,4,0,1282,left
3,incongruent,2,0,1391,left
3,incongruent,3,0,1657,left
3,incongruent,2,0,1391,left
3,congruent,1,0,1406,left
3,incongruent,3,0,1047,left
3,congruent,4,0,1406,left
3,incongruent,3,0,1344,left
3,congruent,4,0,1281,left
3,congruent,3,0,1421,left
3,incongruent,1,0,1329,left
3,congruent,2,0,1219,left
3,congruent,4,0,1188,left
3,incongruent,4,0,1188,left
3,congruent,2,0,1688,left
3,incongruent,2,0,1032,left
3,congruent,1,0,1157,left
3,congruent,1,0,1500,left
3,congruent,3,0,1438,left
3,congruent,2,0,1046,left
3,incongruent,3,0,1422,left
3,incongruent,1,0,1218,left
3,congruent,3,0,1109,left
3,incongruent,2,0,1343,left
3,incongruent,4,0,1672,left
3,incongruent,1,0,1343,left
3,incongruent,4,0,1500,left
3,incongruent,2,0,1578,left
3,congruent,4,0,1344,left
3,congruent,4,0,1266,left
3,congruent,2,0,1437,left
3,congruent,3,0,1406,left
3,incongruent,4,0,1704,left
3,congruent,1,0,1266,left
3,congruent,1,0,1782,left
3,incongruent,1,0,1532,left
3,incongruent,1,0,1391,left
3,incongruent,3,0,2484,left
3,congruent,2,0,1281,left
3,congruent,2,0,1000,left
3,congruent,1,0,1532,left
3,congruent,4,0,969,left
3,incongruent,3,0,1297,left
3,congruent,3,0,1421,left
3,incongruent,2,0,1469,left
3,congruent,3,0,1516,left
3,incongruent,4,0,1500,left
3,incongruent,1,0,1594,left
3,incongruent,2,0,1922,left
3,incongruent,3,0,1875,left
3,incongruent,2,0,1422,left
3,incongruent,4,0,1375,left
3,incongruent,3,0,1343,left
3,incongruent,3,0,1250,left
3,incongruent,1,0,1531,left
3,incongruent,4,0,1421,left
3,congruent,1,0,1328,left
3,congruent,3,0,1344,left
3,congruent,2,0,1578,left
3,incongruent,2,0,1688,left
3,incongruent,4,0,1578,left
3,congruent,1,0,1656,left
3,congruent,4,0,1234,left
3,congruent,3,0,1250,left
3,incongruent,2,0,1187,left
3,congruent,4,0,1922,left
3,incongruent,1,0,1907,left
3,incongruent,3,0,1797,left
3,incongruent,4,0,1547,left
3,congruent,4,0,1438,left
3,incongruent,1,0,1469,left
3,congruent,1,0,1360,left
3,incongruent,2,0,1453,left
3,congruent,2,0,1156,left
3,congruent,2,0,1156,left
3,congruent,3,0,1265,left
4,congruent,4,0,1859,left
4,incongruent,3,1,2297,left
4,congruent,1,0,2188,left
4,incongruent,3,0,2031,left
4,incongruent,1,0,1984,left
4,congruent,1,0,1953,left
4,incongruent,2,0,2031,left
4,congruent,2,0,2093,left
4,incongruent,1,0,1563,left
4,congruent,3,0,1703,left
4,congruent,2,0,1719,left
4,congruent,3,0,1703,left
4,incongruent,2,0,1797,left
4,incongruent,4,0,1641,left
4,incongruent,4,0,1750,left
4,incongruent,1,0,1844,left
4,incongruent,4,0,1859,left
4,congruent,4,0,1657,left
4,incongruent,2,0,1672,left
4,congruent,3,0,1703,left
4,congruent,4,0,1485,left
4,incongruent,3,0,1688,left
4,congruent,2,0,1500,left
4,congruent,1,0,1562,left
4,congruent,3,0,1610,left
4,incongruent,1,0,1359,left
4,incongruent,3,0,1437,left
4,congruent,2,0,1328,left
4,incongruent,1,0,1500,left
4,incongruent,3,0,1297,left
4,incongruent,2,0,1609,left
4,congruent,4,0,1750,left
4,incongruent,4,0,1672,left
4,congruent,4,0,1375,left
