subject,condition,distance,error,RT,side
4,incongruent,3,0,1484,left
4,congruent,4,0,1328,left
4,congruent,2,0,1640,left
4,incongruent,4,0,1391,left
4,congruent,3,0,1297,left
4,congruent,3,0,1390,left
4,incongruent,2,0,1469,left
4,incongruent,4,0,1625,left
4,incongruent,1,0,1438,left
4,congruent,1,0,1172,left
4,incongruent,2,0,1750,left
4,congruent,2,0,2093,left
4,congruent,1,0,1609,left
4,incongruent,1,1,1813,left
4,incongruent,3,0,1563,left
4,congruent,3,0,1750,left
4,congruent,1,0,1312,left
4,congruent,1,0,1609,left
4,incongruent,1,0,1203,left
4,congruent,1,0,1234,left
4,incongruent,1,0,1656,left
4,incongruent,2,0,1578,left
4,congruent,3,0,1406,left
4,incongruent,3,0,1843,left
4,congruent,2,0,1578,left
4,incongruent,4,0,1578,left
4,congruent,4,0,1531,left
4,congruent,4,0,1421,left
4,congruent,4,0,1703,left
4,congruent,2,0,1328,left
4,incongruent,4,0,1735,left
4,congruent,2,0,1781,left
4,incongruent,3,0,1437,left
4,incongruent,2,0,1454,left
4,incongruent,4,0,1547,left
4,incongruent,1,0,1546,left
4,congruent,3,0,1704,left
4,incongruent,2,0,2578,left
4,congruent,1,0,1829,left
4,congruent,4,0,1500,left
4,incongruent,3,0,1766,left
4,incongruent,3,0,1656,left
4,congruent,2,0,1453,left
4,congruent,1,0,1297,left
4,incongruent,1,0,1109,left
4,congruent,1,0,1484,left
4,congruent,3,0,1656,left
4,congruent,2,0,1547,left
4,congruent,3,0,1594,left
4,incongruent,4,0,1485,left
4,incongruent,2,0,1250,left
4,congruent,2,0,1437,left
4,incongruent,4,0,1531,left
4,incongruent,3,0,1375,left
4,incongruent,1,0,1469,left
4,congruent,4,0,1282,left
4,incongruent,4,0,1437,left
4,congruent,4,0,1281,left
4,incongruent,1,0,1219,left
4,congruent,3,0,1391,left
4,incongruent,2,0,1281,left
4,incongruent,2,0,1188,left
4,incongruent,3,0,1594,left
4,congruent,3,0,1172,left
4,incongruent,4,0,1281,left
4,congruent,2,0,1250,left
4,congruent,1,0,1234,left
4,congruent,1,0,1609,left
4,congruent,4,0,1390,left
4,congruent,4,0,1375,left
4,congruent,4,0,1157,left
4,congruent,2,0,1282,left
4,incongruent,2,0,1359,left
4,congruent,1,0,1344,left
4,incongruent,3,0,1156,left
4,congruent,2,0,1531,left
4,incongruent,4,0,1562,left
4,congruent,3,0,1375,left
4,congruent,3,0,1266,left
4,incongruent,2,0,1485,left
4,incongruent,2,0,1203,left
4,incongruent,3,0,1219,left
4,incongruent,1,0,1203,left
4,incongruent,4,0,985,left
4,incongruent,1,0,1422,left
4,incongruent,1,0,922,left
4,congruent,1,0,1140,left
4,incongruent,1,0,1063,left
4,incongruent,3,0,1172,left
4,congruent,4,0,1281,left
4,congruent,4,0,1156,left
4,incongruent,2,0,1140,left
4,congruent,3,0,1125,left
4,incongruent,2,0,1234,left
4,congruent,2,0,1125,left
4,congruent,2,0,1313,left
4,congruent,2,0,1281,left
4,incongruent,1,0,1266,left
4,congruent,1,0,1391,left
4,incongruent,2,0,1172,left
4,congruent,3,0,2266,left
4,incongruent,4,0,2062,left
4,incongruent,4,0,1391,left
4,incongruent,4,0,1438,left
4,congruent,1,0,1187,left
4,incongruent,1,0,1218,left
4,incongruent,3,0,1641,left
4,congruent,3,0,1469,left
4,incongruent,3,0,1360,left
4,congruent,4,0,1437,left
4,congruent,2,0,1531,left
4,congruent,1,0,1359,left
4,congruent,4,0,1625,left
4,incongruent,3,0,1219,left
4,congruent,3,0,1219,left
4,incongruent,4,0,1250,left
4,incongruent,2,0,1484,left
4,congruent,3,0,1375,left
4,congruent,1,0,1266,left
4,congruent,1,0,1312,left
4,congruent,3,0,1390,left
4,incongruent,1,0,1328,left
4,incongruent,2,0,1328,left
4,congruent,2,0,1359,left
4,incongruent,1,0,1500,left
4,congruent,2,0,1094,left
4,incongruent,3,0,1156,left
4,incongruent,3,0,985,left
4,congruent,4,0,1235,left
4,incongruent,4,0,1219,left
4,incongruent,4,0,1437,left
4,incongruent,1,0,938,left
4,congruent,4,0,969,left
4,incongruent,2,0,1062,left
4,congruent,4,0,1250,left
4,congruent,1,0,1141,left
4,congruent,2,0,1125,left
4,congruent,2,0,1703,left
4,incongruent,2,0,1421,left
4,congruent,3,0,1188,left
4,incongruent,3,0,1250,left
4,incongruent,2,0,1015,left
4,congruent,3,0,1296,left
4,incongruent,3,0,1265,left
4,incongruent,1,0,1390,left
4,incongruent,4,0,1343,left
4,incongruent,1,0,1437,left
4,congruent,4,0,1171,left
4,incongruent,2,0,1766,left
4,incongruent,3,0,1562,left
4,congruent,3,0,1156,left
4,congruent,4,0,1234,left
4,incongruent,1,0,1266,left
4,congruent,1,0,1563,left
4,congruent,1,0,1172,left
4,incongruent,4,0,1078,left
4,incongruent,4,0,1172,left
4,congruent,2,0,1156,left
5,incongruent,1,0,1469,left
5,incongruent,4,0,1656,left
5,congruent,3,0,1203,left
5,congruent,1,0,1750,left
5,congruent,2,0,1297,left
5,incongruent,4,0,1156,left
5,congruent,4,0,1516,left
5,congruent,1,0,1312,left
5,incongruent,2,0,1329,left
5,congruent,3,0,1344,left
5,congruent,4,0,1547,left
5,incongruent,3,0,953,left
5,congruent,3,0,1141,left
5,congruent,2,0,1094,left
5,incongruent,1,0,1141,left
5,congruent,1,0,1219,left
5,congruent,2,0,1016,left
5,incongruent,2,0,828,left
5,congruent,4,0,984,left
5,incongruent,3,0,1000,left
5,incongruent,3,0,922,left
5,incongruent,2,0,984,left
5,incongruent,4,0,843,left
5,incongruent,1,0,1094,left
5,congruent,1,0,1109,left
5,congruent,3,0,1125,left
5,congruent,1,0,906,left
5,congruent,4,0,1453,left
5,incongruent,3,0,1219,left
5,incongruent,3,0,1266,left
5,congruent,4,0,1313,left
5,congruent,3,0,1188,left
5,congruent,2,0,1078,left
5,congruent,4,0,1250,left
5,incongruent,2,0,1000,left
5,congruent,1,0,1094,left
5,incongruent,3,0,1188,left
5,incongruent,2,0,1156,left
5,congruent,3,0,1250,left
5,incongruent,1,0,1203,left
5,congruent,2,0,1047,left
5,incongruent,4,0,1187,left
5,incongruent,1,0,1172,left
5,incongruent,1,0,1562,left
5,congruent,2,0,1187,left
5,incongruent,4,0,1704,left
5,incongruent,2,0,1469,left
5,incongruent,4,0,1125,left
5,congruent,2,0,1078,left
5,incongruent,2,0,1422,left
5,incongruent,3,0,1359,left
5,congruent,2,0,1031,left
5,congruent,4,0,1000,left
5,incongruent,4,0,1297,left
5,incongruent,3,0,1047,left
5,incongruent,1,0,1281,left
5,incongruent,4,0,1218,left
5,incongruent,3,0,1281,left
5,incongruent,2,0,1266,left
5,congruent,2,0,1141,left
5,congruent,1,0,1032,left
5,congruent,1,0,1032,left
5,congruent,3,0,1172,left
5,incongruent,2,0,1297,left
5,congruent,4,0,1359,left
5,congruent,3,0,1032,left
5,congruent,3,0,938,left
5,incongruent,4,0,1250,left
5,congruent,4,0,1016,left
5,incongruent,1,0,1266,left
5,incongruent,1,0,1078,left
5,congruent,1,0,1407,left
5,congruent,3,0,1047,left
5,congruent,3,0,812,left
5,incongruent,3,0,765,left
5,congruent,3,0,1062,left
5,incongruent,1,0,1437,left
5,incongruent,4,0,1500,left
5,incongruent,2,0,1234,left
5,congruent,1,0,1312,left
5,incongruent,3,0,1375,left
5,incongruent,4,0,1078,left
5,congruent,1,0,1485,left
5,incongruent,1,0,1110,left
5,congruent,4,0,984,left
5,congruent,2,0,1140,left
5,incongruent,2,0,1375,left
5,congruent,4,0,984,left
5,congruent,2,0,1094,left
5,incongruent,2,0,1453,left
5,congruent,4,0,1109,left
5,incongruent,4,0,1125,left
5,congruent,1,0,1328,left
5,incongruent,3,0,1093,left
5,congruent,2,0,984,left
5,incongruent,1,0,1250,left
5,incongruent,3,0,1078,left
5,incongruent,4,0,937,left
5,congruent,2,0,1203,left
5,incongruent,2,0,1125,left
5,incongruent,2,0,1000,left
5,incongruent,1,0,1016,left
5,incongruent,4,0,1297,left
5,incongruent,3,0,890,left
5,incongruent,1,0,969,left
5,congruent,3,0,953,left
5,congruent,1,0,953,left
5,congruent,2,0,1125,left
5,congruent,4,0,985,left
5,incongruent,1,0,922,left
5,congruent,2,0,1015,left
5,congruent,3,0,1140,left
5,incongruent,3,0,1093,left
5,congruent,4,0,1047,left
5,congruent,3,0,1110,left
5,incongruent,2,0,1203,left
5,congruent,1,0,1140,left
5,congruent,4,0,1141,left
5,congruent,1,0,1047,left
5,incongruent,4,0,1156,left
5,congruent,4,0,1235,left
5,congruent,3,0,1078,left
5,incongruent,4,0,1093,left
5,congruent,2,0,813,left
5,incongruent,3,0,1125,left
5,congruent,1,0,1313,left
5,congruent,2,0,938,left
5,incongruent,4,0,1109,left
5,incongruent,2,0,1187,left
5,incongruent,1,0,1047,left
5,incongruent,2,0,1188,left
5,congruent,4,0,969,left
5,incongruent,1,0,1156,left
5,incongruent,1,0,1469,left
5,congruent,1,0,1157,left
